# member.uid___A001_X133d_X19a3.GM_Aur_sci.spw35.cube.I.pbcor.fits, region=
# beam size: 1.7830495657080387 arcsec2, 55.03239400298232 pixels
# Total flux: 
# Channel number_of_unmasked_pixels Frequency_(GHz) Velocity_(km/s) Sum_(Jy/beam)
0 2207 89.157867 103.056556 -0.542258
1 2207 89.157928 102.851307 -0.640142
2 2207 89.157989 102.646058 -0.966950
3 2207 89.158050 102.440809 -1.149166
4 2207 89.158111 102.235560 0.175282
5 2207 89.158172 102.030311 0.278949
6 2207 89.158233 101.825062 0.079519
7 2207 89.158294 101.619813 -0.466410
8 2207 89.158355 101.414564 -0.967147
9 2207 89.158416 101.209315 -0.365105
10 2207 89.158477 101.004066 -0.460462
11 2207 89.158538 100.798817 -0.343102
12 2207 89.158599 100.593568 -0.539439
13 2207 89.158660 100.388319 -0.574950
14 2207 89.158721 100.183070 -0.029074
15 2207 89.158783 99.977821 -0.104084
16 2207 89.158844 99.772572 0.140504
17 2207 89.158905 99.567323 0.040412
18 2207 89.158966 99.362074 0.669752
19 2207 89.159027 99.156825 0.086880
20 2207 89.159088 98.951576 -0.561893
21 2207 89.159149 98.746327 0.262982
22 2207 89.159210 98.541078 -0.854473
23 2207 89.159271 98.335829 -0.768970
24 2207 89.159332 98.130580 0.291588
25 2207 89.159393 97.925331 -0.404982
26 2207 89.159454 97.720082 -0.621197
27 2207 89.159515 97.514833 0.046377
28 2207 89.159576 97.309585 -0.036872
29 2207 89.159637 97.104336 -0.151035
30 2207 89.159698 96.899087 0.524831
31 2207 89.159759 96.693838 0.507933
32 2207 89.159821 96.488589 1.150590
33 2207 89.159882 96.283340 0.728022
34 2207 89.159943 96.078091 0.510947
35 2207 89.160004 95.872842 -0.146635
36 2207 89.160065 95.667593 -1.276182
37 2207 89.160126 95.462344 -1.504921
38 2207 89.160187 95.257095 -0.349557
39 2207 89.160248 95.051846 -0.657130
40 2207 89.160309 94.846597 0.638089
41 2207 89.160370 94.641348 1.094067
42 2207 89.160431 94.436099 0.018050
43 2207 89.160492 94.230850 0.643661
44 2207 89.160553 94.025601 0.804618
45 2207 89.160614 93.820352 0.472353
46 2207 89.160675 93.615103 0.673332
47 2207 89.160736 93.409854 0.315049
48 2207 89.160798 93.204605 -0.325273
49 2207 89.160859 92.999356 -0.405859
50 2207 89.160920 92.794107 0.303369
51 2207 89.160981 92.588858 0.099612
52 2207 89.161042 92.383609 0.903772
53 2207 89.161103 92.178360 0.583952
54 2207 89.161164 91.973111 -0.800503
55 2207 89.161225 91.767862 -1.055696
56 2207 89.161286 91.562613 -0.867697
57 2207 89.161347 91.357364 -0.620953
58 2207 89.161408 91.152115 -0.242681
59 2207 89.161469 90.946866 0.173022
60 2207 89.161530 90.741617 1.153879
61 2207 89.161591 90.536368 1.235471
62 2207 89.161652 90.331119 0.072802
63 2207 89.161713 90.125870 -0.318806
64 2207 89.161775 89.920621 -0.268074
65 2207 89.161836 89.715372 -1.393664
66 2207 89.161897 89.510123 0.000871
67 2207 89.161958 89.304874 -0.243619
68 2207 89.162019 89.099625 0.211742
69 2207 89.162080 88.894376 -0.085205
70 2207 89.162141 88.689127 -0.032274
71 2207 89.162202 88.483878 -0.335987
72 2207 89.162263 88.278629 -0.215973
73 2207 89.162324 88.073380 -0.270901
74 2207 89.162385 87.868131 -0.419946
75 2207 89.162446 87.662882 0.651155
76 2207 89.162507 87.457633 -0.352955
77 2207 89.162568 87.252384 0.095567
78 2207 89.162629 87.047135 0.207332
79 2207 89.162690 86.841886 0.162707
80 2207 89.162752 86.636637 0.069081
81 2207 89.162813 86.431388 0.143743
82 2207 89.162874 86.226139 0.352573
83 2207 89.162935 86.020890 1.420360
84 2207 89.162996 85.815641 0.792482
85 2207 89.163057 85.610392 -0.065509
86 2207 89.163118 85.405143 -0.588568
87 2207 89.163179 85.199894 -0.786346
88 2207 89.163240 84.994645 -0.082467
89 2207 89.163301 84.789396 0.986790
90 2207 89.163362 84.584147 0.414610
91 2207 89.163423 84.378898 0.793767
92 2207 89.163484 84.173649 0.182149
93 2207 89.163545 83.968400 -0.251924
94 2207 89.163606 83.763151 -0.018537
95 2207 89.163667 83.557902 0.585895
96 2207 89.163729 83.352653 -0.371118
97 2207 89.163790 83.147404 -1.177148
98 2207 89.163851 82.942155 -0.825826
99 2207 89.163912 82.736906 -0.374177
100 2207 89.163973 82.531657 0.106447
101 2207 89.164034 82.326408 -0.281497
102 2207 89.164095 82.121159 -0.709024
103 2207 89.164156 81.915910 -0.400187
104 2207 89.164217 81.710661 0.473991
105 2207 89.164278 81.505412 0.486393
106 2207 89.164339 81.300163 -0.469620
107 2207 89.164400 81.094914 -0.707639
108 2207 89.164461 80.889665 0.074127
109 2207 89.164522 80.684416 -0.326209
110 2207 89.164583 80.479167 -0.181310
111 2207 89.164644 80.273918 0.128736
112 2207 89.164705 80.068669 -0.183730
113 2207 89.164767 79.863420 -0.482162
114 2207 89.164828 79.658171 -0.718499
115 2207 89.164889 79.452922 0.161657
116 2207 89.164950 79.247673 -0.077260
117 2207 89.165011 79.042424 0.443996
118 2207 89.165072 78.837175 0.768006
119 2207 89.165133 78.631926 0.312965
120 2207 89.165194 78.426677 0.597273
121 2207 89.165255 78.221428 0.728967
122 2207 89.165316 78.016179 -0.006390
123 2207 89.165377 77.810930 -0.165919
124 2207 89.165438 77.605681 -0.502317
125 2207 89.165499 77.400433 -0.201130
126 2207 89.165560 77.195184 -0.647202
127 2207 89.165621 76.989935 -0.105328
128 2207 89.165682 76.784686 -0.055335
129 2207 89.165744 76.579437 -0.595022
130 2207 89.165805 76.374188 -0.516686
131 2207 89.165866 76.168939 -0.346058
132 2207 89.165927 75.963690 -0.162384
133 2207 89.165988 75.758441 0.890476
134 2207 89.166049 75.553192 0.477532
135 2207 89.166110 75.347943 -0.686722
136 2207 89.166171 75.142694 -0.990549
137 2207 89.166232 74.937445 -0.387616
138 2207 89.166293 74.732196 -0.835250
139 2207 89.166354 74.526947 -0.449940
140 2207 89.166415 74.321698 -0.564603
141 2207 89.166476 74.116449 0.094219
142 2207 89.166537 73.911200 -0.379321
143 2207 89.166598 73.705951 0.603016
144 2207 89.166659 73.500702 0.459669
145 2207 89.166721 73.295453 0.553123
146 2207 89.166782 73.090204 -0.791822
147 2207 89.166843 72.884955 -0.735668
148 2207 89.166904 72.679706 0.112788
149 2207 89.166965 72.474457 -0.011023
150 2207 89.167026 72.269208 0.157301
151 2207 89.167087 72.063959 -0.351111
152 2207 89.167148 71.858710 -0.224880
153 2207 89.167209 71.653461 -0.245373
154 2207 89.167270 71.448212 -0.657859
155 2207 89.167331 71.242963 -0.699712
156 2207 89.167392 71.037714 0.235723
157 2207 89.167453 70.832465 -0.041766
158 2207 89.167514 70.627216 1.023144
159 2207 89.167575 70.421967 0.275295
160 2207 89.167636 70.216718 -0.304298
161 2207 89.167698 70.011469 -0.395213
162 2207 89.167759 69.806220 -0.099010
163 2207 89.167820 69.600971 0.016389
164 2207 89.167881 69.395722 -0.535828
165 2207 89.167942 69.190473 -1.217872
166 2207 89.168003 68.985224 -0.600056
167 2207 89.168064 68.779975 0.769234
168 2207 89.168125 68.574726 0.090288
169 2207 89.168186 68.369477 0.492550
170 2207 89.168247 68.164228 -0.118239
171 2207 89.168308 67.958979 0.018217
172 2207 89.168369 67.753730 -1.127244
