#Species	Ordered Freq (GHz) (rest frame)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
SO3&Sigma;v=0	100.02964	4(5)-4(4)	-4.2274	 0.38m	23.4748	33.7748	JPL
HC3Nv=0	100.076392	J=11-10	-2.1673	1.28	16.6912	24.0148	CDMS
H2CO	101.332991	6(1,5)-6(1,6)	-4.0441		57.4804	82.701	CDMS
H2CS	101.47762	3(1,3)-2(1,2)	-3.6341	0.49	12.5521	18.0596	JPL
H2CS	103.03999	3(2,2)-2(2,1)	-4.3594	0.2	40.0668	57.6469	JPL
H2CS	103.04022	3(0,3)-2(0,2)	-4.0278	0.2	3.4374	4.9456	JPL
H2CS	103.05181	3(2,1)-2(2,0)	-4.3593	0.13	40.0669	57.647	JPL
H2CS	104.61704	3(1,2)-2(1,1)	-3.6079	0.77	12.6568	18.2102	JPL
SO3&Sigma;v=0	109.25222	2(3)-1(2)	-3.4962	 2.42m	10.9871	15.8079	JPL
H2CS	109.7093633	14(1,13)-14(1,14)	-5.0909		127.5742	183.5498	JPL
C18O	109.7821734	1-0	-5.0708	2.1	0	0	CDMS
C15N	110.02459	N=1-0,J=3/2-1/2,F=2-1	-3.2125	0.18	0.0006	0.0009	CDMS
13COv=0	110.2013543	1-0	-5.0662	9.3	0	0	CDMS
CH3CNv=0	110.330345	6(5)-5(5)	-3.7883		133.3111	191.8062	JPL
CH3CNv=0	110.3494703	6(4)-5(4)	-3.4355		88.6465	127.5434	JPL
CH3CNv=0	110.3643537	6(3)-5(3)	-2.9316		53.8969	77.5461	JPL
CH3CNv=0	110.374989	6(2)-5(2)	-3.1071		29.07	41.8255	JPL
CH3CNv=0	110.381372	6(1)-5(1)	-3.0371		14.1717	20.39	JPL
CH3CNv=0	110.3834999	6(0)-5(0)	-3.5038		9.2051	13.2442	JPL
CH3CNv=0	110.3834999	6(0)-5(0)	-3.0145		9.2052	13.2443	JPL
C17O	112.358982	J=1-0,F=7/2-5/2	-5.3942	0.43	0	0	CDMS
CNv=0	113.4909702	N=1-0,J=3/2-1/2,F=5/2-3/2	-3.2691	3.23	0	0	CDMS
COv=0	115.2712018	1-0	-5.0105	60	0	0	CDMS
H2CO	116.7187681	14(2,12)-14(2,13)	-4.6652		287.063	413.0172	CDMS
H2S	119.66442	4(2,2)-5(1,5)	-6.9748		166.3442	239.3338	CDMS
H2CS	125.3412339	15(1,14)-15(1,15)	-5.0397		144.4779	207.8703	JPL
H2CO	125.5709381	15(2,13)-16(0,16)	-6.2201		324.0311	466.2058	CDMS
SO3&Sigma;v=0	129.138923	3(3)-2(2)	-3.1098	1.5	13.4238	19.3137	JPL
t-HCOOH	129.6718163	6(1,6)-5(1,5)	-3.8608		13.037	18.7572	CDMS
H2CO	135.0304399	7(1,6)-7(1,7)	-3.892		73.8907	106.3116	CDMS
H2CS	135.297811	4(1,4)-3(1,3)	-3.2444	0.64	15.937	22.9297	JPL
H2CO	135.4487402	14(2,12)-15(0,15)	-6.0795		286.4383	412.1184	CDMS
SO3&Sigma;v=0	136.634799	5(6)-5(5)	-4.0835	0.4	30.6538	44.1037	JPL
H2CS	137.36917	4(3,2)-3(3,1)	-3.7147	  b	89.1451	128.2592	JPL
H2CS	137.36917	4(3,2)-3(3,1)	-3.7147	  b	89.1451	128.2592	JPL
H2CS	137.371051	4(0,4)-3(0,3)	-3.6615	0.37	6.8745	9.8908	JPL
H2CS	137.382029	4(2,3)-3(2,2)	-3.8626	0.1	43.5038	62.5919	JPL
H2CS	137.41177	4(2,2)-3(2,1)	-3.8624	0.09	43.5043	62.5926	JPL
SO3&Sigma;v=0	138.1786	4(3)-3(2)	-2.8674	2	6.4122	9.2257	JPL
13CSv=0	138.739335	3-2	-2.2799	0.5	4.6279	6.6585	CDMS
H2CS	139.48341	4(1,3)-3(1,2)	-3.2185	0.17	16.1465	23.2311	JPL
H2CO	140.839502	2(1,2)-1(1,1)	-2.9773		10.539	15.1632	CDMS
H2CS	142.0000259	16(1,15)-16(1,16)	-4.9962		162.5056	233.808	JPL
DCO+v=0	144.077289	J=2-1	-1.6267	0.3	2.403	3.4574	CDMS
CCD	144.2419354	N=2-1,J=5/2-3/2,F=7/2-5/2	-3.6095		2.4056	3.4611	CDMS
