Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
13COv=0	Carbon Monoxide	110.20132180, 110.20132180	J=1-0,F=1/2-1/2	-5.54330	 9.3	0.0000	0.0000	CDMS
13COv=0	Carbon Monoxide	110.20135430, 110.20135430	1-0	-5.06620	 9.3	0.0000	0.0000	CDMS
13COv=0	Carbon Monoxide	110.20137040, 110.20137040	J=1-0,F=3/2-1/2	-5.24230	 9.3	0.0000	0.0000	CDMS
13COv=0	Carbon Monoxide	220.39861950, 220.39861950	J=2-1,F=3/2-3/2	-5.35080	17.	3.6759	5.2888	CDMS
13COv=0	Carbon Monoxide	220.39866740, 220.39866740	J=2-1,F=3/2-1/2	-4.65170	17.	3.6759	5.2888	CDMS
13COv=0	Carbon Monoxide	220.39868420, 220.39868420	2-1	-4.17490	17.	3.6759	5.2888	CDMS
13COv=0	Carbon Monoxide	220.39870060, 220.39870060	J=2-1,F=5/2-3/2	-4.39670	17.	3.6759	5.2888	CDMS
13COv=0	Carbon Monoxide	330.58786710, 330.58786710	J=3-2,F=5/2-5/2	-5.21000	16.03	11.0276	15.8662	CDMS
13COv=0	Carbon Monoxide	330.58794900, 330.58794900	J=3-2,F=5/2-3/2	-4.06370	16.03	11.0276	15.8662	CDMS
13COv=0	Carbon Monoxide	330.58796530, 330.58796530	3-2	-3.66620	16.03	11.0276	15.8662	CDMS
13COv=0	Carbon Monoxide	330.58798160, 330.58798160	J=3-2,F=7/2-5/2	-3.90920	16.03	11.0276	15.8662	CDMS
13COv=0	Carbon Monoxide	440.76517350, 440.76517350	4-3	-3.31870		22.0549	31.7319	CDMS
13COv=0	Carbon Monoxide	550.92628510, 550.92628510	5-4	-3.06320		36.7572	52.8851	CDMS
13COv=0	Carbon Monoxide	661.06727660, 661.06727660	6-5	-2.86870	 64.0	55.1341	79.3252	CDMS
13COv=0	Carbon Monoxide	771.18412500, 771.18412500	7-6	-2.71870		77.1850	111.0514	CDMS
13COv=0	Carbon Monoxide	881.27280800, 881.27280800	8-7	-2.60340	148.6	102.9089	148.0621	CDMS
