Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
13CSv=0	Carbon Monosulfide	138.73918330, 138.73918330	J=3-2,F=5/2-5/2	-3.82390	 0.5	4.6279	6.6585	CDMS
13CSv=0	Carbon Monosulfide	138.73925090, 138.73925090	J=3-2,F=5/2-3/2	-2.67780	 0.5	4.6279	6.6585	CDMS
13CSv=0	Carbon Monosulfide	138.73927790, 138.73927790	J=3-2,F=7/2-5/2	-2.52290	 0.5	4.6279	6.6585	CDMS
13CSv=0	Carbon Monosulfide	138.73933500, 138.73933500	3-2	-2.27990	 0.5	4.6279	6.6585	CDMS
13CSv=0	Carbon Monosulfide	184.98158000, 184.98158000	J=4-3,F=7/2-7/2	-3.71570		9.2558	13.3170	CDMS
13CSv=0	Carbon Monosulfide	184.98167460, 184.98167460	J=4-3,F=7/2-5/2	-2.28430		9.2558	13.3170	CDMS
13CSv=0	Carbon Monosulfide	184.98170160, 184.98170160	J=4-3,F=9/2-7/2	-2.17160		9.2558	13.3170	CDMS
13CSv=0	Carbon Monosulfide	184.98177200, 184.98177200	4-3	-1.91630		9.2558	13.3170	CDMS
13CSv=0	Carbon Monosulfide	231.22055010, 231.22055010	J=5-4,F=9/2-9/2	-3.63570	 0.7	15.4261	22.1946	CDMS
13CSv=0	Carbon Monosulfide	231.22067170, 231.22067170	J=5-4,F=9/2-7/2	-1.99220	 0.7	15.4261	22.1946	CDMS
13CSv=0	Carbon Monosulfide	231.22068520, 231.22068520	5-4	-1.64010	 0.7	15.4261	22.1946	CDMS
13CSv=0	Carbon Monosulfide	231.22069870, 231.22069870	J=5-4,F=11/2-9/2	-1.90330	 0.7	15.4261	22.1946	CDMS
13CSv=0	Carbon Monosulfide	277.45540500, 277.45540500	6-5	-1.42020		23.1388	33.2914	CDMS
13CSv=0	Carbon Monosulfide	323.68497300, 323.68497300	7-6	-1.24030		32.3937	46.6070	CDMS
13CSv=0	Carbon Monosulfide	369.90855050, 369.90855050	8-7	-1.09040		43.1907	62.1414	CDMS
13CSv=0	Carbon Monosulfide	416.12527510, 416.12527510	9-8	-0.96430		55.5295	79.8941	CDMS
13CSv=0	Carbon Monosulfide	462.33429010, 462.33429010	10-9	-0.85760	14.6	69.4099	99.8648	CDMS
13CSv=0	Carbon Monosulfide	508.53473910, 508.53473910	11-10	-0.76710		84.8318	122.0533	CDMS
13CSv=0	Carbon Monosulfide	554.72576570, 554.72576570	12-11	-0.69080		101.7946	146.4589	CDMS
13CSv=0	Carbon Monosulfide	600.90648000, 600.90648000	13-12	-0.62670		120.2983	173.0814	CDMS
13CSv=0	Carbon Monosulfide	647.07615000, 647.07615000	14-13	-0.57350		140.3424	201.9202	CDMS
13CSv=0	Carbon Monosulfide	693.23374680, 693.23374680	15-14	-0.53020		161.9265	232.9748	CDMS
13CSv=0	Carbon Monosulfide	739.37852000, 739.37852000	16-15	-0.49590		185.0503	266.2446	CDMS
13CSv=0	Carbon Monosulfide	785.50958930, 785.50958930	17-16	-0.47000		209.7133	301.7289	CDMS
13CSv=0	Carbon Monosulfide	831.62609840, 831.62609840	18-17	-0.45180	 6.9	235.9151	339.4273	CDMS
13CSv=0	Carbon Monosulfide	877.72719140, 877.72719140	19-18	-0.44080		263.6552	379.3388	CDMS
13CSv=0	Carbon Monosulfide	923.81201230, 923.81201230	20-19	-0.43660		292.9330	421.4628	CDMS
