Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
C15N	Cyanide Radical	109.68961000, 109.68961000	N=1-0,J=1/2-1/2,F=1-1	-3.618	0.1	0.0006	0.0009	CDMS
C15N	Cyanide Radical	109.70898590, 109.70898590	N=1-0,J=1/2-1/2,F=1-0	-3.9042		0	0	CDMS
C15N	Cyanide Radical	109.73365700, 109.73365700	N=1-0,J=1/2-1/2,F=0-1	-3.9138		0.0006	0.0009	CDMS
C15N	Cyanide Radical	110.00409150, 110.00409150	N=1-0,J=3/2-1/2,F=1-1	-3.9018		0.0006	0.0009	CDMS
C15N	Cyanide Radical	110.02354000, 110.02354000	N=1-0,J=3/2-1/2,F=1-0	-3.6154	0.07	0	0	CDMS
C15N	Cyanide Radical	110.02459000, 110.02459000	N=1-0,J=3/2-1/2,F=2-1	-3.2125	0.18	0.0006	0.0009	CDMS
C15N	Cyanide Radical	219.38749320, 219.38749320	N=2-1,J=3/2-3/2,F=2-2	-3.3727		3.6707	5.2813	CDMS
C15N	Cyanide Radical	219.40794450, 219.40794450	N=2-1,J=3/2-3/2,F=2-1	-4.341		3.67	5.2803	CDMS
C15N	Cyanide Radical	219.41785710, 219.41785710	N=2-1,J=3/2-3/2,F=1-2	-4.3232		3.6707	5.2813	CDMS
C15N	Cyanide Radical	219.43830830, 219.43830830	N=2-1,J=3/2-3/2,F=1-1	-3.6146		3.67	5.2803	CDMS
C15N	Cyanide Radical	219.70874290, 219.70874290	N=2-1,J=3/2-1/2,F=1-0	-3.0211	0.1	3.661	5.2673	CDMS
C15N	Cyanide Radical	219.72248770, 219.72248770	N=2-1,J=3/2-1/2,F=2-1	-2.6221	0.15	3.6595	5.2652	CDMS
C15N	Cyanide Radical	219.75285160, 219.75285160	N=2-1,J=3/2-1/2,F=1-1	-3.327		3.6595	5.2652	CDMS
C15N	Cyanide Radical	219.91358910, 219.91358910	N=2-1,J=5/2-3/2,F=2-2	-3.5379		3.6707	5.2813	CDMS
C15N	Cyanide Radical	219.93404000, 219.93404000	N=2-1,J=5/2-3/2,F=2-1	-2.5895	0.6	3.67	5.2803	CDMS
C15N	Cyanide Radical	219.93482000, 219.93482000	N=2-1,J=5/2-3/2,F=3-2	-2.397	0.6	3.6707	5.2813	CDMS
C15N	Cyanide Radical	329.07858120, 329.07858120	N=3-2,J=5/2-5/2,F=3-3	-3.236		11.0069	15.8364	CDMS
C15N	Cyanide Radical	329.09988670, 329.09988670	N=3-2,J=5/2-5/2,F=3-2	-4.5547		11.0062	15.8354	CDMS
C15N	Cyanide Radical	329.10627910, 329.10627910	N=3-2,J=5/2-5/2,F=2-3	-4.5341		11.0069	15.8364	CDMS
C15N	Cyanide Radical	329.12758460, 329.12758460	N=3-2,J=5/2-5/2,F=2-2	-3.3829		11.0062	15.8354	CDMS
C15N	Cyanide Radical	329.62331670, 329.62331670	N=3-2,J=5/2-3/2,F=2-1	-2.2565		10.9897	15.8116	CDMS
C15N	Cyanide Radical	329.62598260, 329.62598260	N=3-2,J=5/2-3/2,F=3-2	-2.0643		10.9887	15.8102	CDMS
C15N	Cyanide Radical	329.65368050, 329.65368050	N=3-2,J=5/2-3/2,F=2-2	-3.2142		10.9887	15.8102	CDMS
C15N	Cyanide Radical	329.81582730, 329.81582730	N=3-2,J=7/2-5/2,F=3-3	-3.3528		11.0069	15.8364	CDMS
C15N	Cyanide Radical	329.83713280, 329.83713280	N=3-2,J=7/2-5/2,F=3-2	-2.0555		11.0062	15.8354	CDMS
C15N	Cyanide Radical	329.83764980, 329.83764980	N=3-2,J=7/2-5/2,F=4-3	-1.9249		11.0069	15.8364	CDMS
C15N	Cyanide Radical	438.75727070, 438.75727070	N=4-3,J=7/2-7/2,F=4-4	-3.1495		22.0091	31.666	CDMS
C15N	Cyanide Radical	438.77909320, 438.77909320	N=4-3,J=7/2-7/2,F=4-3	-4.7126		22.0084	31.665	CDMS
C15N	Cyanide Radical	438.78384800, 438.78384800	N=4-3,J=7/2-7/2,F=3-4	-4.6912		22.0091	31.666	CDMS
C15N	Cyanide Radical	438.80567050, 438.80567050	N=4-3,J=7/2-7/2,F=3-3	-3.2564		22.0084	31.665	CDMS
