Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
C17O	Carbon Monoxide	112.35877700, 112.35877700	J=1-0,F=3/2-5/2	-5.69520	 0.43	0.0000	0.0000	CDMS
C17O	Carbon Monoxide	112.35898200, 112.35898200	J=1-0,F=7/2-5/2	-5.39420	 0.43	0.0000	0.0000	CDMS
C17O	Carbon Monoxide	112.36000700, 112.36000700	J=1-0,F=5/2-5/2	-5.51910	 0.38	0.0000	0.0000	CDMS
C17O	Carbon Monoxide	224.71353340, 224.71353340	J=2-1,F=3/2-5/2	-5.54880	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71418700, 224.71418700	J=2-1,F=5/2-5/2	-5.06490	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71418700, 224.71418700	J=2-1,F=5/2-5/2	-4.91680	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71418700, 224.71418700	J=2-1,F=5/2-5/2	-4.62800	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71418700, 224.71418700	J=2-1,F=5/2-5/2	-5.32700	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71474380, 224.71474380	J=2-1,F=3/2-3/2	-5.18080	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71531000, 224.71531000	J=2-1,F=5/2-7/2	-5.95020	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71531000, 224.71531000	J=2-1,F=5/2-7/2	-5.17210	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	224.71531000, 224.71531000	J=2-1,F=5/2-7/2	-5.35690	 1.5	3.7479	5.3924	CDMS
C17O	Carbon Monoxide	337.06051320, 337.06051320	J=3-2,F=3/2-5/2	-5.58460	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337.06070880, 337.06070880	J=3-2,F=1/2-3/2	-5.61800	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337.06083140, 337.06083140	J=3-2,F=5/2-7/2	-5.73070	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337.06093570, 337.06093570	J=3-2,F=5/2-5/2	-4.82220	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337.06098800, 337.06098800	J=3-2,F=9/2-7/2	-4.35470	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337.06098800, 337.06098800	J=3-2,F=9/2-7/2	-4.18660	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337.06105000, 337.06105000	J=3-2,F=3/2-3/2	-4.90870	 1.47	11.2436	16.1769	CDMS
