Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
C34Sv=0	Carbon Monosulfide	96.41294950, 96.41294950	2-1	-2.74620	 0.62	1.6080	1.6210	CDMS
C34Sv=0	Carbon Monosulfide	144.61710070, 144.61710070	3-2	-2.22630	 1.2	4.8240	4.8629	CDMS
C34Sv=0	Carbon Monosulfide	192.81845660, 192.81845660	4-3	-1.86320		9.6479	9.7258	CDMS
C34Sv=0	Carbon Monosulfide	241.01608920, 241.01608920	5-4	-1.58760	 0.83	16.0796	16.2094	CDMS
C34Sv=0	Carbon Monosulfide	289.20906840, 289.20906840	6-5	-1.36850	 0.8	24.1191	24.3138	CDMS
C34Sv=0	Carbon Monosulfide	337.39645900, 337.39645900	7-6	-1.18940	 1.89	33.7660	34.0385	CDMS
C34Sv=0	Carbon Monosulfide	385.57733600, 385.57733600	8-7	-1.04060		45.0204	45.3838	CDMS
C34Sv=0	Carbon Monosulfide	433.75076300, 433.75076300	9-8	-0.91560		57.8819	58.3491	CDMS
C34Sv=0	Carbon Monosulfide	481.91581050, 481.91581050	10-9	-0.81020	 3.1	72.3502	72.9342	CDMS
C34Sv=0	Carbon Monosulfide	530.07155370, 530.07155370	11-10	-0.72120		88.4252	89.1389	CDMS
C34Sv=0	Carbon Monosulfide	578.21706900, 578.21706900	12-11	-0.64640		106.1065	106.9630	CDMS
C34Sv=0	Carbon Monosulfide	626.35138400, 626.35138400	13-12	-0.58400	 8.8	125.3937	126.4058	CDMS
C34Sv=0	Carbon Monosulfide	674.47361770, 674.47361770	14-13	-0.53270	 3.9	146.2866	147.4674	CDMS
C34Sv=0	Carbon Monosulfide	722.58281720, 722.58281720	15-14	-0.49140	 8.1	168.7846	170.1470	CDMS
C34Sv=0	Carbon Monosulfide	770.67805470, 770.67805470	16-15	-0.45920		192.8874	194.4443	CDMS
C34Sv=0	Carbon Monosulfide	818.75840000, 818.75840000	17-16	-0.43550	13.2	218.5944	220.3588	CDMS
C34Sv=0	Carbon Monosulfide	866.82292280, 866.82292280	18-17	-0.41960		245.9052	247.8901	CDMS
C34Sv=0	Carbon Monosulfide	914.87070500, 914.87070500	19-18	-0.41110		274.8193	277.0375	CDMS
