Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CCD	Ethynyl	144.23381820, 144.23381820	N=2-1,J=5/2-3/2,F=3/2-5/2	-5.9645		2.4056	3.4611	CDMS
CCD	Ethynyl	144.23714410, 144.23714410	N=2-1,J=5/2-3/2,F=5/2-5/2	-4.5636		2.4056	3.4611	CDMS
CCD	Ethynyl	144.23972820, 144.23972820	N=2-1,J=5/2-3/2,F=3/2-3/2	-4.5464		2.4054	3.4609	CDMS
CCD	Ethynyl	144.24193540, 144.24193540	N=2-1,J=5/2-3/2,F=7/2-5/2	-3.6095		2.4056	3.4611	CDMS
CCD	Ethynyl	144.24297320, 144.24297320	N=2-1,J=5/2-3/2,F=3/2-1/2	-4.03		2.4053	3.4607	CDMS
CCD	Ethynyl	144.24305410, 144.24305410	N=2-1,J=5/2-3/2,F=5/2-3/2	-3.8044		2.4054	3.4609	CDMS
CCD	Ethynyl	144.29672090, 144.29672090	N=2-1,J=3/2-1/2,F=5/2-3/2	-3.8235		2.4083	3.465	CDMS
CCD	Ethynyl	144.29754180, 144.29754180	N=2-1,J=3/2-1/2,F=3/2-1/2	-4.2536		2.4083	3.465	CDMS
CCD	Ethynyl	144.29903300, 144.29903300	N=2-1,J=3/2-1/2,F=1/2-1/2	-4.3309		2.4083	3.465	CDMS
CCD	Ethynyl	144.29955990, 144.29955990	N=2-1,J=3/2-1/2,F=3/2-3/2	-4.3156		2.4083	3.465	CDMS
CCD	Ethynyl	144.30105110, 144.30105110	N=2-1,J=3/2-1/2,F=1/2-3/2	-5.1981		2.4083	3.465	CDMS
CCD	Ethynyl	144.37670860, 144.37670860	N=2-1,J=3/2-3/2,F=5/2-5/2	-4.5524		2.4056	3.4611	CDMS
CCD	Ethynyl	144.37954760, 144.37954760	N=2-1,J=3/2-3/2,F=3/2-5/2	-5.2952		2.4056	3.4611	CDMS
CCD	Ethynyl	144.38261860, 144.38261860	N=2-1,J=3/2-3/2,F=5/2-3/2	-5.199		2.4054	3.4609	CDMS
CCD	Ethynyl	144.38545760, 144.38545760	N=2-1,J=3/2-3/2,F=3/2-3/2	-5.0328		2.4054	3.4609	CDMS
CCD	Ethynyl	144.38694880, 144.38694880	N=2-1,J=3/2-3/2,F=1/2-3/2	-5.4072		2.4054	3.4609	CDMS
CCD	Ethynyl	144.38870250, 144.38870250	N=2-1,J=3/2-3/2,F=3/2-1/2	-5.3453		2.4053	3.4607	CDMS
CCD	Ethynyl	144.39019370, 144.39019370	N=2-1,J=3/2-3/2,F=1/2-1/2	-5.3406		2.4053	3.4607	CDMS
CCD	Ethynyl	216.36853160, 216.36853160	N=3-2,J=7/2-5/2,F=7/2-7/2	-4.3497		7.217	10.3837	CDMS
CCD	Ethynyl	216.36998820, 216.36998820	N=3-2,J=7/2-5/2,F=5/2-5/2	-4.342		7.2168	10.3834	CDMS
CCD	Ethynyl	216.37283710, 216.37283710	N=3-2,J=7/2-5/2,F=9/2-7/2	-3.143		7.217	10.3837	CDMS
CCD	Ethynyl	216.37331400, 216.37331400	N=3-2,J=7/2-5/2,F=5/2-3/2	-3.4142		7.2167	10.3833	CDMS
