Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CCHv=0	Ethynyl	87.28415600, 87.28415600	N=1-0,J=3/2-1/2,F=1-1	-5.02040	 0.53	0.0015	0.0022	JPL
CCHv=0	Ethynyl	87.31692500, 87.31692500	N=1-0,J=3/2-1/2,F=2-1	-4.02850	 4.00	0.0015	0.0022	JPL
CCHv=0	Ethynyl	87.32862400, 87.32862400	N=1-0,J=3/2-1/2,F=1-0	-4.33110	 2.27	0.0000	0.0000	JPL
CCHv=0	Ethynyl	87.40200400, 87.40200400	N=1-0,J=1/2-1/2,F=1-1	-4.33040	 2.25	0.0015	0.0022	JPL
CCHv=0	Ethynyl	87.40716500, 87.40716500	N=1-0,J=1/2-1/2,F=0-1	-4.72660	 1.02	0.0015	0.0022	JPL
CCHv=0	Ethynyl	87.44651200, 87.44651200	N=1-0,J=1/2-1/2,F=1-0	-5.01880	 0.56	0.0000	0.0000	JPL
CCHv=0	Ethynyl	174.66322200, 174.66322200	N=2-1,J=5/2-3/2,F=3-2	-3.21010		2.9141	4.1927	JPL
CCHv=0	Ethynyl	174.66768500, 174.66768500	N=2-1,J=5/2-3/2,F=2-1	-3.38870		2.9130	4.1911	JPL
CCHv=0	Ethynyl	174.72177700, 174.72177700	N=2-1,J=3/2-1/2,F=2-1	-3.45900		2.9169	4.1967	JPL
CCHv=0	Ethynyl	174.72810000, 174.72810000	N=2-1,J=3/2-1/2,F=1-0	-3.83300		2.9171	4.1970	JPL
CCHv=0	Ethynyl	174.73319490, 174.73319490	N=2-1,J=3/2-1/2,F=1-1	-4.03880		2.9169	4.1967	JPL
CCHv=0	Ethynyl	174.80682720, 174.80682720	N=2-1,J=3/2-3/2,F=2-2	-4.09650		2.9141	4.1927	JPL
CCHv=0	Ethynyl	262.00422660, 262.00422660	N=3-2,J=7/2-5/2,F=4-3	-2.73390	 3.5	8.7402	12.5751	JPL
CCHv=0	Ethynyl	262.00640340, 262.00640340	N=3-2,J=7/2-5/2,F=3-2	-2.85990		8.7392	12.5737	JPL
CCHv=0	Ethynyl	262.06484330, 262.06484330	N=3-2,J=5/2-3/2,F=3-2	-2.88000	 2.8	8.7450	12.5820	JPL
CCHv=0	Ethynyl	262.06733120, 262.06733120	N=3-2,J=5/2-3/2,F=2-1	-3.06470	 2.4	8.7454	12.5826	JPL
CCHv=0	Ethynyl	262.07877580, 262.07877580	N=3-2,J=5/2-3/2,F=2-2	-3.93600	 0.8	8.7450	12.5820	JPL
CCHv=0	Ethynyl	262.20843880, 262.20843880	N=3-2,J=5/2-5/2,F=3-3	-3.97130	<0.8	8.7402	12.5751	JPL
CCHv=0	Ethynyl	349.33745580, 349.33745580	N=4-3,J=9/2-7/2,F=5-4	-2.40230	 1.2b	17.4797	25.1492	JPL
CCHv=0	Ethynyl	349.33872840, 349.33872840	N=4-3,J=9/2-7/2,F=4-3	-2.49970	  b	17.4788	25.1479	JPL
CCHv=0	Ethynyl	349.39890610, 349.39890610	N=4-3,J=7/2-5/2,F=4-3	-2.50810	 1.0b	17.4865	25.1590	JPL
CCHv=0	Ethynyl	349.40029180, 349.40029180	N=4-3,J=7/2-5/2,F=3-2	-2.63540	  b	17.4870	25.1597	JPL
CCHv=0	Ethynyl	436.66037110, 436.66037110	N=5-4,J=11/2-9/2,F=6-5	-2.15350		29.1324	41.9148	JPL
CCHv=0	Ethynyl	436.66120140, 436.66120140	N=5-4,J=11/2-9/2,F=5-4	-2.23290		29.1315	41.9135	JPL
CCHv=0	Ethynyl	436.72222570, 436.72222570	N=5-4,J=9/2-7/2,F=5-4	-2.23720		29.1412	41.9274	JPL
CCHv=0	Ethynyl	436.72311030, 436.72311030	N=5-4,J=9/2-7/2,F=4-3	-2.33510		29.1417	41.9282	JPL
CCHv=0	Ethynyl	523.97040680, 523.97040680	N=6-5,J=13/2-11/2,F=7-6	-1.95970		43.6978	62.8710	JPL
CCHv=0	Ethynyl	523.97098980, 523.97098980	N=6-5,J=13/2-11/2,F=6-5	-2.02680		43.6970	62.8699	JPL
CCHv=0	Ethynyl	524.03248570, 524.03248570	N=6-5,J=11/2-9/2,F=6-5	-2.02920		43.7087	62.8867	JPL
CCHv=0	Ethynyl	524.03309920, 524.03309920	N=6-5,J=11/2-9/2,F=5-4	-2.10890		43.7092	62.8874	JPL
CCHv=0	Ethynyl	611.26499200, 611.26499200	N=7-6,J=15/2-13/2,F=8-7	-1.80610		61.1755	88.0174	JPL
