Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CH3CNv=0	Methyl Cyanide	110.32822680, 110.32822680	6(5)-5(5),F=5-5	-5.82170		133.3112	191.8063	JPL
CH3CNv=0	Methyl Cyanide	110.32959060, 110.32959060	6(5)-5(5),F=6-5	-4.27770		133.3112	191.8063	JPL
CH3CNv=0	Methyl Cyanide	110.33034500, 110.33034500	6(5)-5(5)	-3.78830		133.3111	191.8062	JPL
CH3CNv=0	Methyl Cyanide	110.33062480, 110.33062480	6(5)-5(5),F=7-6	-4.20330		133.3111	191.8062	JPL
CH3CNv=0	Methyl Cyanide	110.33087010, 110.33087010	6(5)-5(5),F=5-4	-4.35260		133.3111	191.8062	JPL
CH3CNv=0	Methyl Cyanide	110.33177890, 110.33177890	6(5)-5(5),F=6-6	-5.82170		133.3111	191.8062	JPL
CH3CNv=0	Methyl Cyanide	110.34873280, 110.34873280	6(4)-5(4),F=5-5	-5.46890		88.6466	127.5435	JPL
CH3CNv=0	Methyl Cyanide	110.34898750, 110.34898750	6(4)-5(4),F=6-5	-3.92480		88.6466	127.5435	JPL
CH3CNv=0	Methyl Cyanide	110.34947030, 110.34947030	6(4)-5(4)	-3.43550		88.6465	127.5434	JPL
CH3CNv=0	Methyl Cyanide	110.34965590, 110.34965590	6(4)-5(4),F=7-6	-3.85050		88.6465	127.5434	JPL
CH3CNv=0	Methyl Cyanide	110.34979420, 110.34979420	6(4)-5(4),F=5-4	-3.99980		88.6465	127.5434	JPL
CH3CNv=0	Methyl Cyanide	110.34985790, 110.34985790	6(4)-5(4),F=6-6	-5.46890		88.6465	127.5434	JPL
CH3CNv=0	Methyl Cyanide	110.36392740, 110.36392740	6(3)-5(3),F=6-6	-4.96510		53.8969	77.5461	JPL
CH3CNv=0	Methyl Cyanide	110.36408210, 110.36408210	6(3)-5(3),F=6-5	-3.42100		53.8969	77.5461	JPL
CH3CNv=0	Methyl Cyanide	110.36435370, 110.36435370	6(3)-5(3)	-2.93160		53.8969	77.5461	JPL
CH3CNv=0	Methyl Cyanide	110.36446600, 110.36446600	6(3)-5(3),F=7-6	-3.34660		53.8969	77.5461	JPL
CH3CNv=0	Methyl Cyanide	110.36452110, 110.36452110	6(3)-5(3),F=5-4	-3.49590		53.8969	77.5461	JPL
CH3CNv=0	Methyl Cyanide	110.36469000, 110.36469000	6(3)-5(3),F=5-5	-4.96500		53.8969	77.5461	JPL
CH3CNv=0	Methyl Cyanide	110.37398150, 110.37398150	6(2)-5(2),F=6-6	-5.14050		29.0700	41.8255	JPL
CH3CNv=0	Methyl Cyanide	110.37486830, 110.37486830	6(2)-5(2),F=6-5	-3.59640		29.0700	41.8255	JPL
CH3CNv=0	Methyl Cyanide	110.37498900, 110.37498900	6(2)-5(2)	-3.10710		29.0700	41.8255	JPL
CH3CNv=0	Methyl Cyanide	110.37504470, 110.37504470	6(2)-5(2),F=5-4	-3.67130		29.0700	41.8255	JPL
CH3CNv=0	Methyl Cyanide	110.37504890, 110.37504890	6(2)-5(2),F=7-6	-3.52200		29.0700	41.8255	JPL
CH3CNv=0	Methyl Cyanide	110.37609240, 110.37609240	6(2)-5(2),F=5-5	-5.14050		29.0700	41.8255	JPL
CH3CNv=0	Methyl Cyanide	110.38001560, 110.38001560	6(1)-5(1),F=6-6	-5.07050		14.1717	20.3900	JPL
CH3CNv=0	Methyl Cyanide	110.38134180, 110.38134180	6(1)-5(1),F=6-5	-3.52640		14.1716	20.3899	JPL
CH3CNv=0	Methyl Cyanide	110.38136050, 110.38136050	6(1)-5(1),F=5-4	-3.60130		14.1717	20.3900	JPL
CH3CNv=0	Methyl Cyanide	110.38137200, 110.38137200	6(1)-5(1)	-3.03710		14.1717	20.3900	JPL
CH3CNv=0	Methyl Cyanide	110.38140050, 110.38140050	6(1)-5(1),F=7-6	-3.45200		14.1717	20.3900	JPL
CH3CNv=0	Methyl Cyanide	110.38202730, 110.38202730	6(0)-5(0),F=6-6	-5.04790		9.2052	13.2443	JPL
CH3CNv=0	Methyl Cyanide	110.38293550, 110.38293550	6(1)-5(1),F=5-5	-5.07050		14.1716	20.3899	JPL
CH3CNv=0	Methyl Cyanide	110.38346610, 110.38346610	6(0)-5(0),F=5-4	-3.57870		9.2052	13.2443	JPL
CH3CNv=0	Methyl Cyanide	110.38349990, 110.38349990	6(0)-5(0)	-3.50380		9.2051	13.2442	JPL
CH3CNv=0	Methyl Cyanide	110.38349990, 110.38349990	6(0)-5(0)	-3.01450		9.2052	13.2443	JPL
CH3CNv=0	Methyl Cyanide	110.38351790, 110.38351790	6(0)-5(0),F=7-6	-3.42940		9.2052	13.2443	JPL
CH3CNv=0	Methyl Cyanide	110.38521690, 110.38521690	6(0)-5(0),F=5-5	-5.04790		9.2051	13.2442	JPL
CH3CNv=0	Methyl Cyanide	128.68784090, 128.68784090	7(6)-6(6),F=6-6	-5.63720		191.5600	275.6139	JPL
CH3CNv=0	Methyl Cyanide	128.68943160, 128.68943160	7(6)-6(6),F=7-6	-3.95600		191.5600	275.6139	JPL
CH3CNv=0	Methyl Cyanide	128.69011060, 128.69011060	7(6)-6(6)	-3.46990		191.5599	275.6138	JPL
CH3CNv=0	Methyl Cyanide	128.69037310, 128.69037310	7(6)-6(6),F=8-7	-3.89270		191.5599	275.6138	JPL
CH3CNv=0	Methyl Cyanide	128.69056020, 128.69056020	7(6)-6(6),F=6-5	-4.01960		191.5599	275.6138	JPL
CH3CNv=0	Methyl Cyanide	128.69174930, 128.69174930	7(6)-6(6),F=7-7	-5.63720		191.5599	275.6138	JPL
CH3CNv=0	Methyl Cyanide	128.71630040, 128.71630040	7(5)-6(5),F=6-6	-5.55820		136.9914	197.1013	JPL
CH3CNv=0	Methyl Cyanide	128.71688770, 128.71688770	7(5)-6(5),F=7-6	-3.87690		136.9914	197.1013	JPL
