Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CH3OHvt=0-2	Methanol	100.63887200, 100.63887200	13(2)-12(3)E1vt=0	-4.898		159.009	228.7772	JPL
CH3OHvt=0-2	Methanol	101.09706900, 101.09706900	3(-2)-3(1)E2vt=0	-8.3203		24.31	34.9765	JPL
CH3OHvt=0-2	Methanol	101.10173500, 101.10173500	4(-2)-4(1)E2vt=0	-7.7369		30.764	44.2623	JPL
CH3OHvt=0-2	Methanol	101.10254700, 101.10254700	2(-2)-2(1)E2vt=0	-9.1632		19.469	28.0114	JPL
CH3OHvt=0-2	Methanol	101.12685700, 101.12685700	5(-2)-5(1)E2vt=0	-7.2855		38.833	55.8717	JPL
CH3OHvt=0-2	Methanol	101.18545300, 101.18545300	6(-2)-6(1)E2vt=0	-6.9166		48.514	69.8004	JPL
CH3OHvt=0-2	Methanol	101.29341500, 101.29341500	7(-2)-7(1)E2vt=0	-6.6049		59.809	86.0513	JPL
CH3OHvt=0-2	Methanol	101.46980500, 101.46980500	8(-2)-8(1)E2vt=0	-6.3355		72.717	104.6229	JPL
CH3OHvt=0-2	Methanol	101.73729300, 101.73729300	9(-2)-9(1)E2vt=0	-6.099		87.239	125.5167	JPL
CH3OHvt=0-2	Methanol	102.12277600, 102.12277600	10(-2)-10(1)E2vt=0	-5.8889		103.373	148.7298	JPL
CH3OHvt=0-2	Methanol	102.65816000, 102.65816000	11(-2)-11(1)E2vt=0	-5.7008		121.119	174.2622	JPL
CH3OHvt=0-2	Methanol	103.32525200, 103.32525200	12(3)-13(0)E1vt=0	-6.9046		155.562	223.8177	JPL
CH3OHvt=0-2	Methanol	103.38125800, 103.38125800	12(-2)-12(1)E2vt=0	-5.5313		140.478	202.1153	JPL
CH3OHvt=0-2	Methanol	103.52648000, 103.52648000	13(3)+-14(1)+vt=0	-10.069		177.941	256.0159	JPL
CH3OHvt=0-2	Methanol	104.06063400, 104.06063400	13(-3)-12(-4)E2vt=0	-4.997		186.899	268.9044	JPL
