Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CNv=0	Cyanide Radical	113.12337010, 113.12337010	N=1-0,J=1/2-1/2,F=1/2-1/2	-4.71180	 0.17	0.0007	0.0010	CDMS
CNv=0	Cyanide Radical	113.14415730, 113.14415730	N=1-0,J=1/2-1/2,F=1/2-3/2	-3.79890	 1.14	0.0000	0.0000	CDMS
CNv=0	Cyanide Radical	113.17049150, 113.17049150	N=1-0,J=1/2-1/2,F=3/2-1/2	-3.80900	 0.97	0.0007	0.0010	CDMS
CNv=0	Cyanide Radical	113.19127870, 113.19127870	N=1-0,J=1/2-1/2,F=3/2-3/2	-3.69550	 1.38	0.0000	0.0000	CDMS
CNv=0	Cyanide Radical	113.48812020, 113.48812020	N=1-0,J=3/2-1/2,F=3/2-1/2	-3.69320	 1.04	0.0007	0.0010	CDMS
CNv=0	Cyanide Radical	113.49097020, 113.49097020	N=1-0,J=3/2-1/2,F=5/2-3/2	-3.26910	 3.23	0.0000	0.0000	CDMS
CNv=0	Cyanide Radical	113.49964430, 113.49964430	N=1-0,J=3/2-1/2,F=1/2-1/2	-3.79620	 0.79	0.0007	0.0010	CDMS
CNv=0	Cyanide Radical	113.50890740, 113.50890740	N=1-0,J=3/2-1/2,F=3/2-3/2	-3.80650	 0.94	0.0000	0.0000	CDMS
CNv=0	Cyanide Radical	113.52043150, 113.52043150	N=1-0,J=3/2-1/2,F=1/2-3/2	-4.70900	<0.2	0.0000	0.0000	CDMS
CNv=0	Cyanide Radical	226.28741850, 226.28741850	N=2-1,J=3/2-3/2,F=1/2-1/2	-4.12140		3.7866	5.4480	CDMS
CNv=0	Cyanide Radical	226.29894270, 226.29894270	N=2-1,J=3/2-3/2,F=1/2-3/2	-4.21890		3.7862	5.4475	CDMS
CNv=0	Cyanide Radical	226.30303720, 226.30303720	N=2-1,J=3/2-3/2,F=3/2-1/2	-4.21310		3.7866	5.4480	CDMS
CNv=0	Cyanide Radical	226.31454000, 226.31454000	N=2-1,J=3/2-3/2,F=3/2-3/2	-3.83730		3.7862	5.4475	CDMS
CNv=0	Cyanide Radical	226.33249860, 226.33249860	N=2-1,J=3/2-3/2,F=3/2-5/2	-4.17470	 0.3	3.7857	5.4467	CDMS
CNv=0	Cyanide Radical	226.34192980, 226.34192980	N=2-1,J=3/2-3/2,F=5/2-3/2	-4.15780	 0.3	3.7862	5.4475	CDMS
CNv=0	Cyanide Radical	226.35987100, 226.35987100	N=2-1,J=3/2-3/2,F=5/2-5/2	-3.45080	 1.2	3.7857	5.4467	CDMS
CNv=0	Cyanide Radical	226.61657140, 226.61657140	N=2-1,J=3/2-1/2,F=1/2-3/2	-4.10420	 0.2	3.7757	5.4324	CDMS
CNv=0	Cyanide Radical	226.63219010, 226.63219010	N=2-1,J=3/2-1/2,F=3/2-3/2	-3.20440	 1.4	3.7757	5.4324	CDMS
CNv=0	Cyanide Radical	226.65955840, 226.65955840	N=2-1,J=3/2-1/2,F=5/2-3/2	-2.68150	 4.3	3.7757	5.4324	CDMS
CNv=0	Cyanide Radical	226.66369280, 226.66369280	N=2-1,J=3/2-1/2,F=1/2-1/2	-3.20720	 1.5	3.7741	5.4301	CDMS
CNv=0	Cyanide Radical	226.67931140, 226.67931140	N=2-1,J=3/2-1/2,F=3/2-1/2	-3.11220	 1.9	3.7741	5.4301	CDMS
CNv=0	Cyanide Radical	226.87419080, 226.87419080	N=2-1,J=5/2-3/2,F=5/2-3/2	-2.67490	 8.0b	3.7862	5.4475	CDMS
CNv=0	Cyanide Radical	226.87478130, 226.87478130	N=2-1,J=5/2-3/2,F=7/2-5/2	-2.47510	 8.0b	3.7857	5.4467	CDMS
CNv=0	Cyanide Radical	226.87589600, 226.87589600	N=2-1,J=5/2-3/2,F=3/2-1/2	-2.90040	  b	3.7866	5.4480	CDMS
CNv=0	Cyanide Radical	226.88742020, 226.88742020	N=2-1,J=5/2-3/2,F=3/2-3/2	-3.39790	 1.0	3.7862	5.4475	CDMS
CNv=0	Cyanide Radical	226.89212800, 226.89212800	N=2-1,J=5/2-3/2,F=5/2-5/2	-3.40040	 1.0	3.7857	5.4467	CDMS
CNv=0	Cyanide Radical	226.90535740, 226.90535740	N=2-1,J=5/2-3/2,F=3/2-5/2	-4.78240		3.7857	5.4467	CDMS
CNv=0	Cyanide Radical	227.19181950, 227.19181950	N=2-1,J=5/2-1/2,F=5/2-3/2	-7.49590		3.7757	5.4324	CDMS
CNv=0	Cyanide Radical	339.44677700, 339.44677700	N=3-2,J=5/2-5/2,F=3/2-3/2	-3.67400	 0.6	11.3544	16.3364	CDMS
CNv=0	Cyanide Radical	339.45999600, 339.45999600	N=3-2,J=5/2-5/2,F=3/2-5/2	-4.39240	 0.2b	11.3540	16.3358	CDMS
CNv=0	Cyanide Radical	339.46263590, 339.46263590	N=3-2,J=5/2-5/2,F=5/2-3/2	-4.38310	  b	11.3544	16.3364	CDMS
CNv=0	Cyanide Radical	339.47590400, 339.47590400	N=3-2,J=5/2-5/2,F=5/2-5/2	-3.52570	 1.3	11.3540	16.3358	CDMS
CNv=0	Cyanide Radical	339.49321190, 339.49321190	N=3-2,J=5/2-5/2,F=5/2-7/2	-4.37770	 0.3	11.3534	16.3349	CDMS
CNv=0	Cyanide Radical	339.49928840, 339.49928840	N=3-2,J=5/2-5/2,F=7/2-5/2	-4.35980	 0.3	11.3540	16.3358	CDMS
CNv=0	Cyanide Radical	339.51663510, 339.51663510	N=3-2,J=5/2-5/2,F=7/2-7/2	-3.32390	 2.4	11.3534	16.3349	CDMS
CNv=0	Cyanide Radical	339.99225710, 339.99225710	N=3-2,J=5/2-3/2,F=3/2-5/2	-4.43920	 2.23b	11.3362	16.3102	CDMS
CNv=0	Cyanide Radical	340.00812630, 340.00812630	N=3-2,J=5/2-3/2,F=5/2-5/2	-3.06130	 n.r.	11.3362	16.3102	CDMS
CNv=0	Cyanide Radical	340.01962550, 340.01962550	N=3-2,J=5/2-3/2,F=3/2-3/2	-3.06250	 n.r.	11.3353	16.3089	CDMS
CNv=0	Cyanide Radical	340.03154940, 340.03154940	N=3-2,J=5/2-3/2,F=7/2-5/2	-2.14370	 1.6b	11.3362	16.3102	CDMS
CNv=0	Cyanide Radical	340.03540800, 340.03540800	N=3-2,J=5/2-3/2,F=3/2-1/2	-2.56920	  b	11.3348	16.3082	CDMS
CNv=0	Cyanide Radical	340.03540800, 340.03540800	N=3-2,J=5/2-3/2,F=3/2-1/2	-2.34420	  b	11.3353	16.3089	CDMS
CNv=0	Cyanide Radical	340.24777000, 340.24777000	N=3-2,J=7/2-5/2,F=7/2-5/2	-2.14950	  b	11.3540	16.3358	CDMS
CNv=0	Cyanide Radical	340.24777000, 340.24777000	N=3-2,J=7/2-5/2,F=7/2-5/2	-2.01590	  b	11.3534	16.3349	CDMS
CNv=0	Cyanide Radical	340.24854400, 340.24854400	N=3-2,J=7/2-5/2,F=5/2-3/2	-2.28870	  b	11.3544	16.3364	CDMS
CNv=0	Cyanide Radical	340.26177340, 340.26177340	N=3-2,J=7/2-5/2,F=5/2-5/2	-3.20270	 n.r.	11.3540	16.3358	CDMS
CNv=0	Cyanide Radical	340.26494900, 340.26494900	N=3-2,J=7/2-5/2,F=7/2-7/2	-3.20390	 n.r.	11.3534	16.3349	CDMS
CNv=0	Cyanide Radical	340.27912010, 340.27912010	N=3-2,J=7/2-5/2,F=5/2-7/2	-4.88670		11.3534	16.3349	CDMS
CNv=0	Cyanide Radical	452.58969260, 452.58969260	N=4-3,J=7/2-7/2,F=5/2-5/2	-3.49030		22.7039	32.6657	CDMS
CNv=0	Cyanide Radical	452.60386370, 452.60386370	N=4-3,J=7/2-7/2,F=5/2-7/2	-4.53990		22.7034	32.6649	CDMS
CNv=0	Cyanide Radical	452.60570330, 452.60570330	N=4-3,J=7/2-7/2,F=7/2-5/2	-4.52890		22.7039	32.6657	CDMS
CNv=0	Cyanide Radical	452.61987440, 452.61987440	N=4-3,J=7/2-7/2,F=7/2-7/2	-3.38320		22.7034	32.6649	CDMS
CNv=0	Cyanide Radical	452.63696570, 452.63696570	N=4-3,J=7/2-7/2,F=7/2-9/2	-4.53220		22.7028	32.6641	CDMS
CNv=0	Cyanide Radical	452.64160890, 452.64160890	N=4-3,J=7/2-7/2,F=9/2-7/2	-4.51460		22.7034	32.6649	CDMS
CNv=0	Cyanide Radical	452.65870020, 452.65870020	N=4-3,J=7/2-7/2,F=9/2-9/2	-3.24570		22.7028	32.6641	CDMS
CNv=0	Cyanide Radical	453.35217760, 453.35217760	N=4-3,J=7/2-5/2,F=5/2-7/2	-4.65650		22.6784	32.6290	CDMS
CNv=0	Cyanide Radical	453.36818830, 453.36818830	N=4-3,J=7/2-5/2,F=7/2-7/2	-2.97700		22.6784	32.6290	CDMS
CNv=0	Cyanide Radical	453.37560070, 453.37560070	N=4-3,J=7/2-5/2,F=5/2-5/2	-2.97770		22.6777	32.6280	CDMS
CNv=0	Cyanide Radical	453.38992280, 453.38992280	N=4-3,J=7/2-5/2,F=9/2-7/2	-1.79420		22.6784	32.6290	CDMS
CNv=0	Cyanide Radical	453.39146990, 453.39146990	N=4-3,J=7/2-5/2,F=5/2-3/2	-2.06700		22.6771	32.6271	CDMS
CNv=0	Cyanide Radical	453.39161140, 453.39161140	N=4-3,J=7/2-5/2,F=7/2-5/2	-1.92800		22.6777	32.6280	CDMS
CNv=0	Cyanide Radical	453.60653790, 453.60653790	N=4-3,J=9/2-7/2,F=9/2-7/2	-1.79980		22.7034	32.6649	CDMS
CNv=0	Cyanide Radical	453.60668140, 453.60668140	N=4-3,J=9/2-7/2,F=11/2-9/2	-1.69870		22.7028	32.6641	CDMS
