Species	Ordered Freq (GHz) (rest frame)	Resolved QNs
13C18O	314.1195653	J=3-2,F=5/2-5/2
13C18O	314.1196453	J=3-2,F=5/2-3/2
13C18O	314.1196752	J=3-2,F=7/2-5/2
13C17O	321.8509553	J=3-2,F=3/2-5/2
13C17O	321.8511555	J=3-2,F=1/2-3/2
13C17O	321.8512756	J=3-2,F=5/2-7/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8515	J=3-2,F=5/2-5/2
13C17O	321.8524171	J=3-2,F=9/2-9/2
13C17O	321.8525521	J=3-2,F=7/2-9/2
C18O	329.3305525	3-2
13COv=0	330.5878671	J=3-2,F=5/2-5/2
13COv=0	330.587949	J=3-2,F=5/2-3/2
13COv=0	330.5879653	3-2
13COv=0	330.5879816	J=3-2,F=7/2-5/2
C17O	337.0605132	J=3-2,F=3/2-5/2
C17O	337.0607088	J=3-2,F=1/2-3/2
C17O	337.0608314	J=3-2,F=5/2-7/2
C17O	337.0609357	J=3-2,F=5/2-5/2
C17O	337.060988	J=3-2,F=9/2-7/2
C17O	337.060988	J=3-2,F=9/2-7/2
C17O	337.06105	J=3-2,F=3/2-3/2
C17O	337.061123	J=3-2,F=7/2-7/2
C17O	337.061214	J=3-2,F=1/2-1/2
C17O	337.0612262	J=3-2,F=7/2-5/2
C17O	337.0614707	J=3-2,F=5/2-3/2
C17O	337.0615534	J=3-2,F=3/2-1/2
C17O	337.0619508	J=3-2,F=9/2-9/2
C17O	337.062093	J=3-2,F=7/2-9/2
COv=1	342.647636	3-2
COv=0	345.7959899	3-2
