Species	Chemical Name	Ordered Freq (MHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
13C18O	Carbon Monoxide	314119.56530, 314119.56530	J=3-2,F=5/2-5/2	-5.27320		10.4783	15.0758	CDMS
13C18O	Carbon Monoxide	314119.64530, 314119.64530	J=3-2,F=5/2-3/2	-4.12710		10.4783	15.0758	CDMS
13C18O	Carbon Monoxide	314119.67520, 314119.67520	J=3-2,F=7/2-5/2	-3.97220		10.4783	15.0758	CDMS
13C17O	Carbon Monoxide	321850.95530, 321850.95530	J=3-2,F=3/2-5/2	-5.64080		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.15550, 321851.15550	J=3-2,F=1/2-3/2	-5.67420		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.27560, 321851.27560	J=3-2,F=5/2-7/2	-5.78690		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-4.87840		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-4.41090		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-4.24280		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-4.96490		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-4.88920		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-5.13010		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-4.61080		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-4.86260		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321851.50000, 321851.50000	J=3-2,F=5/2-5/2	-5.22700		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321852.41710, 321852.41710	J=3-2,F=9/2-9/2	-5.05440		10.7362	15.4469	CDMS
13C17O	Carbon Monoxide	321852.55210, 321852.55210	J=3-2,F=7/2-9/2	-6.15130		10.7362	15.4469	CDMS
C18O	Carbon Monoxide	329330.55250, 329330.55250	3-2	-3.67060	15.3	10.9857	15.8059	CDMS
13COv=0	Carbon Monoxide	330587.86710, 330587.86710	J=3-2,F=5/2-5/2	-5.21000	16.03	11.0276	15.8662	CDMS
13COv=0	Carbon Monoxide	330587.94900, 330587.94900	J=3-2,F=5/2-3/2	-4.06370	16.03	11.0276	15.8662	CDMS
13COv=0	Carbon Monoxide	330587.96530, 330587.96530	3-2	-3.66620	16.03	11.0276	15.8662	CDMS
13COv=0	Carbon Monoxide	330587.98160, 330587.98160	J=3-2,F=7/2-5/2	-3.90920	16.03	11.0276	15.8662	CDMS
C17O	Carbon Monoxide	337060.51320, 337060.51320	J=3-2,F=3/2-5/2	-5.58460	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337060.70880, 337060.70880	J=3-2,F=1/2-3/2	-5.61800	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337060.83140, 337060.83140	J=3-2,F=5/2-7/2	-5.73070	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337060.93570, 337060.93570	J=3-2,F=5/2-5/2	-4.82220	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337060.98800, 337060.98800	J=3-2,F=9/2-7/2	-4.35470	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337060.98800, 337060.98800	J=3-2,F=9/2-7/2	-4.18660	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337061.05000, 337061.05000	J=3-2,F=3/2-3/2	-4.90870	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337061.12300, 337061.12300	J=3-2,F=7/2-7/2	-4.83300	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337061.21400, 337061.21400	J=3-2,F=1/2-1/2	-5.07390	 1.47	11.2435	16.1768	CDMS
C17O	Carbon Monoxide	337061.22620, 337061.22620	J=3-2,F=7/2-5/2	-4.55460	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337061.47070, 337061.47070	J=3-2,F=5/2-3/2	-4.80640	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337061.55340, 337061.55340	J=3-2,F=3/2-1/2	-5.17080	 1.47	11.2435	16.1768	CDMS
C17O	Carbon Monoxide	337061.95080, 337061.95080	J=3-2,F=9/2-9/2	-4.99820	 1.47	11.2436	16.1769	CDMS
C17O	Carbon Monoxide	337062.09300, 337062.09300	J=3-2,F=7/2-9/2	-6.09510	 1.47	11.2436	16.1769	CDMS
COv=1	Carbon Monoxide	342647.63600, 342647.63600	3-2	-8.30820		2154.7010	3100.1163	CDMS
COv=0	Carbon Monoxide	345795.98990, 345795.98990	3-2	-3.61180	70.00	11.5350	16.5962	CDMS
