Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CSv=0	Carbon Monosulfide	97.98095330, 97.98095330	2-1	-2.72520	 6.94	1.6342	2.3512	CDMS
CSv=0	Carbon Monosulfide	146.96902870, 146.96902870	3-2	-2.20550	 8.1	4.9025	7.0536	CDMS
CSv=0	Carbon Monosulfide	195.95421090, 195.95421090	4-3	-1.84260	 3.3	9.8048	14.1068	CDMS
CSv=0	Carbon Monosulfide	244.93555650, 244.93555650	5-4	-1.56720	 5.5	16.3411	23.5111	CDMS
CSv=0	Carbon Monosulfide	293.91208650, 293.91208650	6-5	-1.34840	 3.3	24.5113	35.2661	CDMS
CSv=0	Carbon Monosulfide	342.88285030, 342.88285030	7-6	-1.16970	 9.65	34.3152	49.3716	CDMS
CSv=0	Carbon Monosulfide	391.84688980, 391.84688980	8-7	-1.02130		45.7525	65.8273	CDMS
CSv=0	Carbon Monosulfide	440.80323200, 440.80323200	9-8	-0.89680		58.8231	84.6328	CDMS
CSv=0	Carbon Monosulfide	489.75092100, 489.75092100	10-9	-0.79190	11.7	73.5267	105.7879	CDMS
CSv=0	Carbon Monosulfide	538.68899720, 538.68899720	11-10	-0.70340		89.8631	129.2922	CDMS
CSv=0	Carbon Monosulfide	587.61648500, 587.61648500	12-11	-0.62920		107.8318	155.1450	CDMS
CSv=0	Carbon Monosulfide	636.53246000, 636.53246000	13-12	-0.56750	29.9	127.4326	183.3460	CDMS
CSv=0	Carbon Monosulfide	685.43592380, 685.43592380	14-13	-0.51690	25.0	148.6650	213.8945	CDMS
CSv=0	Carbon Monosulfide	734.32592900, 734.32592900	15-14	-0.47640		171.5287	246.7901	CDMS
CSv=0	Carbon Monosulfide	783.20151400, 783.20151400	16-15	-0.44510		196.0232	282.0320	CDMS
CSv=0	Carbon Monosulfide	832.06171770, 832.06171770	17-16	-0.42230	57.2	222.1480	319.6196	CDMS
CSv=0	Carbon Monosulfide	880.90557920, 880.90557920	18-17	-0.40740	15.3	249.9025	359.5519	CDMS
CSv=0	Carbon Monosulfide	929.73212500, 929.73212500	19-18	-0.39990		279.2864	401.8285	CDMS
