Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2CO	Formaldehyde	101.33299100, 101.33299100	6(1,5)-6(1,6)	-4.0441		57.4804	82.701	CDMS
H2CO	Formaldehyde	116.71876810, 116.71876810	14(2,12)-14(2,13)	-4.6652		287.063	413.0172	CDMS
H2CO	Formaldehyde	125.57093810, 125.57093810	15(2,13)-16(0,16)	-6.2201		324.0311	466.2058	CDMS
H2CO	Formaldehyde	135.03043990, 135.03043990	7(1,6)-7(1,7)	-3.892		73.8907	106.3116	CDMS
H2CO	Formaldehyde	135.44874020, 135.44874020	14(2,12)-15(0,15)	-6.0795		286.4383	412.1184	CDMS
H2CO	Formaldehyde	140.83950200, 140.83950200	2(1,2)-1(1,1)	-2.9773		10.539	15.1632	CDMS
H2CO	Formaldehyde	140.83950370, 140.83950370	2(1,2)-1(1,1),F=1-0	-3.9315		10.539	15.1632	CDMS
H2CO	Formaldehyde	140.83951590, 140.83951590	2(1,2)-1(1,1),F=3-2	-3.3083		10.539	15.1632	CDMS
H2CO	Formaldehyde	140.83951610, 140.83951610	2(1,2)-1(1,1),F=2-2	-4.0565		10.539	15.1632	CDMS
H2CO	Formaldehyde	140.83952050, 140.83952050	2(1,2)-1(1,1),F=2-1	-3.5793		10.539	15.1632	CDMS
H2CO	Formaldehyde	140.83952880, 140.83952880	2(1,2)-1(1,1),F=1-2	-5.2326		10.539	15.1632	CDMS
H2CO	Formaldehyde	140.83953330, 140.83953330	2(1,2)-1(1,1),F=1-1	-4.0565		10.539	15.1632	CDMS
H2CO	Formaldehyde	145.60294900, 145.60294900	2(0,2)-1(0,1)	-3.2839		2.4296	3.4956	CDMS
H2CO	Formaldehyde	148.67919800, 148.67919800	15(2,13)-15(2,14)	-4.5688		323.2603	465.0968	CDMS
H2CO	Formaldehyde	150.49832120, 150.49832120	2(1,1)-1(1,0),F=1-1	-3.9995		10.7001	15.395	CDMS
H2CO	Formaldehyde	150.49832810, 150.49832810	2(1,1)-1(1,0),F=1-2	-5.1756		10.7001	15.395	CDMS
H2CO	Formaldehyde	150.49833360, 150.49833360	2(1,1)-1(1,0),F=1-0	-3.8746		10.7001	15.395	CDMS
H2CO	Formaldehyde	150.49833400, 150.49833400	2(1,1)-1(1,0)	-2.9203		10.7001	15.395	CDMS
H2CO	Formaldehyde	150.49833600, 150.49833600	2(1,1)-1(1,0),F=3-2	-3.2513		10.7001	15.395	CDMS
H2CO	Formaldehyde	150.49833950, 150.49833950	2(1,1)-1(1,0),F=2-1	-3.5224		10.7001	15.395	CDMS
H2CO	Formaldehyde	150.49834640, 150.49834640	2(1,1)-1(1,0),F=2-2	-3.9995		10.7001	15.395	CDMS
H2CO	Formaldehyde	154.02527000, 154.02527000	13(2,11)-14(0,14)	-5.9125		251.0991	361.2735	CDMS
H2CO	Formaldehyde	173.46170500, 173.46170500	8(1,7)-8(1,8)	-3.7684		92.6337	133.2785	CDMS
H2CO	Formaldehyde	181.01738400, 181.01738400	12(2,10)-13(0,13)	-5.7384		218.0209	313.6816	CDMS
H2CO	Formaldehyde	211.21144910, 211.21144910	3(1,3)-2(1,2),F=4-3	-2.7556		15.2369	21.9224	CDMS
H2CO	Formaldehyde	211.21144950, 211.21144950	3(1,3)-2(1,2),F=2-1	-3.0866		15.2369	21.9224	CDMS
H2CO	Formaldehyde	211.21145120, 211.21145120	3(1,3)-2(1,2),F=3-2	-2.9159		15.2369	21.9224	CDMS
H2CO	Formaldehyde	211.21145140, 211.21145140	3(1,3)-2(1,2),F=3-3	-3.819		15.2369	21.9224	CDMS
H2CO	Formaldehyde	211.21146230, 211.21146230	3(1,3)-2(1,2),F=2-2	-3.819		15.2369	21.9224	CDMS
H2CO	Formaldehyde	211.21146240, 211.21146240	3(1,3)-2(1,2),F=2-3	-5.3631		15.2369	21.9224	CDMS
H2CO	Formaldehyde	211.21146800, 211.21146800	3(1,3)-2(1,2)	-2.3877		15.2369	21.9224	CDMS
H2CO	Formaldehyde	215.97616360, 215.97616360	11(2,9)-12(0,12)	-5.5745		187.2133	269.3566	CDMS
H2CO	Formaldehyde	216.56865100, 216.56865100	9(1,8)-9(1,9)	-3.6678		113.705	163.5952	CDMS
H2CO	Formaldehyde	218.22219200, 218.22219200	3(0,3)-2(0,2)	-2.769		7.2864	10.4834	CDMS
