Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2CS	Thioformaldehyde	95.10823340, 95.10823340	13(1,12)-13(1,13)	-5.15070		111.7947	160.8467	JPL
H2CS	Thioformaldehyde	101.47762000, 101.47762000	3(1,3)-2(1,2)	-3.63410	 0.49	12.5521	18.0596	JPL
H2CS	Thioformaldehyde	103.03999000, 103.03999000	3(2,2)-2(2,1)	-4.35940	 0.2	40.0668	57.6469	JPL
H2CS	Thioformaldehyde	103.04022000, 103.04022000	3(0,3)-2(0,2)	-4.02780	 0.2	3.4374	4.9456	JPL
H2CS	Thioformaldehyde	103.05181000, 103.05181000	3(2,1)-2(2,0)	-4.35930	 0.13	40.0669	57.6470	JPL
H2CS	Thioformaldehyde	104.61704000, 104.61704000	3(1,2)-2(1,1)	-3.60790	 0.77	12.6568	18.2102	JPL
H2CS	Thioformaldehyde	109.70936330, 109.70936330	14(1,13)-14(1,14)	-5.09090		127.5742	183.5498	JPL
H2CS	Thioformaldehyde	125.34123390, 125.34123390	15(1,14)-15(1,15)	-5.03970		144.4779	207.8703	JPL
H2CS	Thioformaldehyde	135.29781100, 135.29781100	4(1,4)-3(1,3)	-3.24440	 0.64	15.9370	22.9297	JPL
H2CS	Thioformaldehyde	137.36917000, 137.36917000	4(3,2)-3(3,1)	-3.71470	  b	89.1451	128.2592	JPL
H2CS	Thioformaldehyde	137.36917000, 137.36917000	4(3,2)-3(3,1)	-3.71470	  b	89.1451	128.2592	JPL
H2CS	Thioformaldehyde	137.37105100, 137.37105100	4(0,4)-3(0,3)	-3.66150	 0.37	6.8745	9.8908	JPL
H2CS	Thioformaldehyde	137.38202900, 137.38202900	4(2,3)-3(2,2)	-3.86260	 0.10	43.5038	62.5919	JPL
H2CS	Thioformaldehyde	137.41177000, 137.41177000	4(2,2)-3(2,1)	-3.86240	 0.09	43.5043	62.5926	JPL
H2CS	Thioformaldehyde	139.48341000, 139.48341000	4(1,3)-3(1,2)	-3.21850	 0.17	16.1465	23.2311	JPL
H2CS	Thioformaldehyde	142.00002590, 142.00002590	16(1,15)-16(1,16)	-4.99620		162.5056	233.8080	JPL
H2CS	Thioformaldehyde	159.68123980, 159.68123980	17(1,16)-17(1,17)	-4.95990		181.6564	261.3615	JPL
H2CS	Thioformaldehyde	169.11352900, 169.11352900	5(1,5)-4(1,4)	-2.95400	 0.541	20.4501	29.4230	JPL
H2CS	Thioformaldehyde	171.67065000, 171.67065000	5(4,2)-4(4,1)	-4.12930		157.3534	226.3951	JPL
H2CS	Thioformaldehyde	171.67065000, 171.67065000	5(4,2)-4(4,1)	-4.12930		157.3534	226.3951	JPL
H2CS	Thioformaldehyde	171.68790000, 171.68790000	5(0,5)-4(0,4)	-3.38160		11.4567	16.4835	JPL
H2CS	Thioformaldehyde	171.71097100, 171.71097100	5(3,3)-4(3,2)	-3.26950		93.7272	134.8518	JPL
