Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2S	Hydrogen sulfide	119.66442000, 119.66442000	4(2,2)-5(1,5)	-6.97480		166.3442	239.3338	CDMS
H2S	Hydrogen sulfide	168.76276240, 168.76276240	1(1,0)-1(0,1)	-2.83370		13.7463	19.7780	CDMS
H2S	Hydrogen sulfide	204.14017000, 204.14017000	4(1,4)-3(2,1)	-5.57440		107.3682	154.4799	CDMS
H2S	Hydrogen sulfide	216.71043650, 216.71043650	2(2,0)-2(1,1)	-3.01710		51.1402	73.5798	CDMS
H2S	Hydrogen sulfide	228.55627000, 228.55627000	4(3,2)-5(0,5)	-6.01390		166.3435	239.3327	CDMS
H2S	Hydrogen sulfide	300.50556000, 300.50556000	3(3,0)-3(2,1)	-2.33250		107.3682	154.4799	CDMS
H2S	Hydrogen sulfide	314.43779000, 314.43779000	6(1,5)-5(4,2)	-5.87380		271.1060	390.0636	CDMS
H2S	Hydrogen sulfide	369.10145000, 369.10145000	3(2,1)-3(1,2)	-2.12660		95.0563	136.7657	CDMS
H2S	Hydrogen sulfide	369.12691200, 369.12691200	4(3,1)-4(2,2)	-2.58820		170.3358	245.0768	CDMS
H2S	Hydrogen sulfide	392.61784000, 392.61784000	3(1,3)-2(2,0)	-4.88610		58.3689	83.9804	CDMS
H2S	Hydrogen sulfide	393.45049000, 393.45049000	2(1,1)-2(0,2)	-2.73640		38.0161	54.6970	CDMS
H2S	Hydrogen sulfide	407.67673000, 407.67673000	5(4,1)-5(3,2)	-2.13420		263.7389	379.4639	CDMS
H2S	Hydrogen sulfide	424.31482000, 424.31482000	4(4,0)-4(3,1)	-2.68470		182.6485	262.7922	CDMS
H2S	Hydrogen sulfide	436.37336000, 436.37336000	5(1,4)-4(4,1)	-4.99680		195.6614	281.5149	CDMS
H2S	Hydrogen sulfide	451.94697000, 451.94697000	5(5,0)-6(2,5)	-6.67740		281.6023	405.1655	CDMS
H2S	Hydrogen sulfide	452.39033000, 452.39033000	1(1,1)-0(0,0)	-2.61160		0.0000	0.0000	CDMS
H2S	Hydrogen sulfide	461.63241960, 461.63241960	5(2,3)-6(1,6)	-5.63840		227.9450	327.9641	CDMS
H2S	Hydrogen sulfide	493.08490840, 493.08490840	5(3,3)-6(0,6)	-6.07180		227.9449	327.9640	CDMS
H2S	Hydrogen sulfide	505.56523000, 505.56523000	2(2,1)-2(1,2)	-2.19870		38.2978	55.1023	CDMS
H2S	Hydrogen sulfide	535.52881800, 535.52881800	6(2,5)-5(3,2)	-4.75340		263.7389	379.4639	CDMS
H2S	Hydrogen sulfide	568.05055700, 568.05055700	3(3,1)-3(2,2)	-2.49650		96.3925	138.6882	CDMS
H2S	Hydrogen sulfide	579.79904200, 579.79904200	5(5,0)-5(4,1)	-2.16530		277.3376	399.0295	CDMS
H2S	Hydrogen sulfide	611.44162900, 611.44162900	5(3,2)-5(2,3)	-1.88250		243.3434	350.1192	CDMS
H2S	Hydrogen sulfide	650.37418600, 650.37418600	4(4,1)-4(3,2)	-1.97410		173.9673	250.3018	CDMS
H2S	Hydrogen sulfide	665.39373800, 665.39373800	4(2,2)-4(1,3)	-2.28330		148.1406	213.1427	CDMS
H2S	Hydrogen sulfide	687.30346800, 687.30346800	2(0,2)-1(1,1)	-2.17750		15.0901	21.7114	CDMS
H2S	Hydrogen sulfide	708.47074040, 708.47074040	3(1,2)-3(0,3)	-1.88180		71.4243	102.7643	CDMS
H2S	Hydrogen sulfide	736.03409600, 736.03409600	2(1,2)-1(0,1)	-1.57390		13.7463	19.7780	CDMS
H2S	Hydrogen sulfide	747.30189000, 747.30189000	3(2,2)-3(1,3)	-2.33070		71.4652	102.8232	CDMS
H2S	Hydrogen sulfide	749.43228000, 749.43228000	5(5,1)-5(4,2)	-2.48540		271.1060	390.0636	CDMS
H2S	Hydrogen sulfide	765.93791000, 765.93791000	4(3,2)-4(2,3)	-1.73850		148.4184	213.5424	CDMS
H2S	Hydrogen sulfide	777.90797000, 777.90797000	6(2,4)-7(1,7)	-5.93200		298.9696	430.1534	CDMS
H2S	Hydrogen sulfide	784.75824800, 784.75824800	6(3,4)-7(0,7)	-5.44970		298.9696	430.1534	CDMS
H2S	Hydrogen sulfide	800.85207000, 800.85207000	5(4,2)-5(3,3)	-2.24250		244.3925	351.6286	CDMS
H2S	Hydrogen sulfide	827.91504600, 827.91504600	5(2,4)-4(3,1)	-4.29100		182.6485	262.7922	CDMS
H2S	Hydrogen sulfide	863.80583700, 863.80583700	6(2,4)-5(5,1)	-4.86000		296.1044	426.0310	CDMS
H2S	Hydrogen sulfide	913.10617600, 913.10617600	4(4,0)-5(1,5)	-7.00070		166.3442	239.3338	CDMS
H2S	Hydrogen sulfide	930.14583200, 930.14583200	4(2,3)-3(3,0)	-3.17500		117.3920	168.9020	CDMS
H2S	Hydrogen sulfide	947.26047000, 947.26047000	6(3,3)-6(2,4)	-2.19770		324.9179	467.4874	CDMS
