Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
HC3Nv=0	Cyanoacetylene	100.07483210, 100.07483210	J=11-10,F=11-11	-4.72720		16.6912	24.0148	CDMS
HC3Nv=0	Cyanoacetylene	100.07638240, 100.07638240	J=11-10,F=10-9	-2.68780	 1.28	16.6912	24.0148	CDMS
HC3Nv=0	Cyanoacetylene	100.07639140, 100.07639140	J=11-10,F=11-10	-2.64800	 1.28	16.6912	24.0148	CDMS
HC3Nv=0	Cyanoacetylene	100.07639200, 100.07639200	J=11-10	-2.16730	 1.28	16.6912	24.0148	CDMS
HC3Nv=0	Cyanoacetylene	100.07639800, 100.07639800	J=11-10,F=12-11	-2.60820	 1.28	16.6912	24.0148	CDMS
HC3Nv=0	Cyanoacetylene	100.07651860, 100.07651860	J=11-10,F=10-11	-7.41090	 1.28	16.6912	24.0148	CDMS
HC3Nv=0	Cyanoacetylene	100.07807780, 100.07807780	J=11-10,F=10-10	-4.72720		16.6912	24.0148	CDMS
HC3Nv=0	Cyanoacetylene	109.17207850, 109.17207850	J=12-11,F=12-12	-4.69660		20.0294	28.8177	CDMS
HC3Nv=0	Cyanoacetylene	109.17363400, 109.17363400	J=12-11	-2.06120	 2.57	20.0294	28.8177	CDMS
HC3Nv=0	Cyanoacetylene	109.17363670, 109.17363670	J=12-11,F=11-10	-2.57780	 2.57	20.0294	28.8177	CDMS
HC3Nv=0	Cyanoacetylene	109.17364440, 109.17364440	J=12-11,F=12-11	-2.54130	 2.57	20.0294	28.8177	CDMS
HC3Nv=0	Cyanoacetylene	109.17365010, 109.17365010	J=12-11,F=13-12	-2.50490	 2.57	20.0294	28.8177	CDMS
HC3Nv=0	Cyanoacetylene	109.17532320, 109.17532320	J=12-11,F=11-11	-4.69660		20.0294	28.8177	CDMS
HC3Nv=0	Cyanoacetylene	118.26916900, 118.26916900	J=13-12,F=13-13	-4.66980		23.6711	34.0572	CDMS
HC3Nv=0	Cyanoacetylene	118.27073410, 118.27073410	J=13-12,F=12-11	-2.47810		23.6711	34.0572	CDMS
HC3Nv=0	Cyanoacetylene	118.27074060, 118.27074060	J=13-12,F=13-12	-2.44450		23.6710	34.0571	CDMS
HC3Nv=0	Cyanoacetylene	118.27074270, 118.27074270	J=13-12	-1.96480		23.6710	34.0571	CDMS
HC3Nv=0	Cyanoacetylene	118.27074570, 118.27074570	J=13-12,F=14-13	-2.41090		23.6711	34.0572	CDMS
HC3Nv=0	Cyanoacetylene	118.27241280, 118.27241280	J=13-12,F=12-12	-4.66980		23.6710	34.0571	CDMS
HC3Nv=0	Cyanoacetylene	127.36609040, 127.36609040	J=14-13,F=14-14	-4.64610		27.6161	39.7332	CDMS
HC3Nv=0	Cyanoacetylene	127.36766130, 127.36766130	J=14-13,F=13-12	-2.38730	 1.85	27.6161	39.7332	CDMS
HC3Nv=0	Cyanoacetylene	127.36766600, 127.36766600	J=14-13	-1.87680	 1.85	27.6161	39.7332	CDMS
HC3Nv=0	Cyanoacetylene	127.36766710, 127.36766710	J=14-13,F=14-13	-2.35610	 1.85	27.6161	39.7332	CDMS
HC3Nv=0	Cyanoacetylene	127.36767160, 127.36767160	J=14-13,F=15-14	-2.32490	 1.85	27.6161	39.7332	CDMS
HC3Nv=0	Cyanoacetylene	127.36933360, 127.36933360	J=14-13,F=13-13	-4.64610		27.6161	39.7332	CDMS
HC3Nv=0	Cyanoacetylene	136.46282950, 136.46282950	J=15-14,F=15-15	-4.62530		31.8647	45.8459	CDMS
HC3Nv=0	Cyanoacetylene	136.46440560, 136.46440560	J=15-14,F=14-13	-2.30420	 1.5	31.8647	45.8459	CDMS
HC3Nv=0	Cyanoacetylene	136.46441070, 136.46441070	J=15-14,F=15-14	-2.27510	 1.5	31.8646	45.8458	CDMS
HC3Nv=0	Cyanoacetylene	136.46441090, 136.46441090	J=15-14	-1.79600	 1.5	31.8647	45.8459	CDMS
HC3Nv=0	Cyanoacetylene	136.46441480, 136.46441480	J=15-14,F=16-15	-2.24600	 1.5	31.8647	45.8459	CDMS
HC3Nv=0	Cyanoacetylene	136.46607210, 136.46607210	J=15-14,F=14-14	-4.62530		31.8646	45.8458	CDMS
HC3Nv=0	Cyanoacetylene	145.55937310, 145.55937310	J=16-15,F=16-16	-4.60710		36.4166	52.3951	CDMS
