Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
DCNv=0	Hydrogen Cyanide	144.82657300, 144.82657300	J=2-1,F=2-2	-2.93150	  b	2.4155	3.4753	JPL
DCNv=0	Hydrogen Cyanide	144.82682500, 144.82682500	J=2-1,F=1-0	-2.80650	  b	2.4155	3.4753	JPL
DCNv=0	Hydrogen Cyanide	144.82799130, 144.82799130	J=2-1,F=1-2	-4.10750	  b	2.4155	3.4753	JPL
DCNv=0	Hydrogen Cyanide	144.82799130, 144.82799130	J=2-1,F=1-2	-2.93140	  b	2.4155	3.4753	JPL
DCNv=0	Hydrogen Cyanide	144.82799130, 144.82799130	J=2-1,F=1-2	-2.45430	  b	2.4155	3.4753	JPL
DCNv=0	Hydrogen Cyanide	144.82799130, 144.82799130	J=2-1,F=1-2	-2.18330	  b	2.4155	3.4753	JPL
HC15Nv=0	Hydrogen Cyanide	172.10795600, 172.10795600	2-1	-1.62950	 0.45	2.8705	4.1300	JPL
H13CNv=0	Hydrogen Cyanide	172.67641980, 172.67641980	J=2-1,F=2-2	-2.73400		2.8800	4.1437	CDMS
H13CNv=0	Hydrogen Cyanide	172.67666500, 172.67666500	J=2-1,F=1-0	-2.60910		2.8801	4.1438	CDMS
H13CNv=0	Hydrogen Cyanide	172.67785120, 172.67785120	J=2-1	-1.65480		2.8800	4.1437	CDMS
H13CNv=0	Hydrogen Cyanide	172.67785120, 172.67785120	J=2-1,F=2-1	-2.25690		2.8800	4.1437	CDMS
H13CNv=0	Hydrogen Cyanide	172.67796190, 172.67796190	J=2-1,F=3-2	-1.98580		2.8800	4.1437	CDMS
H13CNv=0	Hydrogen Cyanide	172.67875270, 172.67875270	J=2-1,F=1-2	-3.91010		2.8800	4.1437	CDMS
H13CNv=0	Hydrogen Cyanide	172.68018400, 172.68018400	J=2-1,F=1-1	-2.73400		2.8800	4.1437	CDMS
HCNv=0	Hydrogen Cyanide	177.25967930, 177.25967930	J=2-1,F=2-2	-2.69930		2.9564	4.2536	CDMS
HCNv=0	Hydrogen Cyanide	177.25992460, 177.25992460	J=2-1,F=1-0	-2.57440		2.9565	4.2537	CDMS
HCNv=0	Hydrogen Cyanide	177.26111120, 177.26111120	J=2-1,F=2-1	-2.22220		2.9564	4.2536	CDMS
HCNv=0	Hydrogen Cyanide	177.26111150, 177.26111150	J=2-1	-1.61880		2.9564	4.2536	CDMS
