Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
D13CO+	Formylium	141.46513310, 141.46513310	2-1	-1.65040		2.3594	3.3946	CDMS
DCO+v=0	Formylium	144.07721310, 144.07721310	J=2-1,F=1-1	-2.70590	 0.3	2.4030	3.4574	CDMS
DCO+v=0	Formylium	144.07728150, 144.07728150	J=2-1,F=3-2	-1.95770	 0.3	2.4030	3.4574	CDMS
DCO+v=0	Formylium	144.07728540, 144.07728540	J=2-1,F=2-1	-2.22880	 0.3	2.4030	3.4574	CDMS
DCO+v=0	Formylium	144.07728900, 144.07728900	J=2-1	-1.62670	 0.3	2.4030	3.4574	CDMS
DCO+v=0	Formylium	144.07732290, 144.07732290	J=2-1,F=1-0	-2.58100	 0.3	2.4030	3.4574	CDMS
DCO+v=0	Formylium	144.07733100, 144.07733100	J=2-1,F=2-2	-2.70590	 0.3	2.4030	3.4574	CDMS
HC18O+	Formylium	170.32262610, 170.32262610	2-1	-1.41070	 0.028	2.8407	4.0871	CDMS
H13CO+	Formylium	173.50665010, 173.50665010	J=2-1,F1=3/2-3/2,F=2-2	-2.77630	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50668120, 173.50668120	J=2-1,F1=3/2-1/2,F=1-0	-2.46600	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50668260, 173.50668260	J=2-1,F1=3/2-3/2,F=1-1	-3.18010	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50668870, 173.50668870	J=2-1,F1=3/2-1/2,F=2-1	-2.07850	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50670030, 173.50670030	2-1	-1.38680	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50670810, 173.50670810	J=2-1,F1=5/2-3/2,F=3-2	-1.84270	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50671200, 173.50671200	J=2-1,F1=5/2-3/2,F=2-1	-2.02870	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50671300, 173.50671300	J=2-1,F1=5/2-3/2,F=2-2	-3.04990	 0.28	2.8938	4.1635	CDMS
H13CO+	Formylium	173.50672220, 173.50672220	J=2-1,F1=3/2-1/2,F=1-1	-2.72020	 0.28	2.8938	4.1635	CDMS
HC17O+	Formylium	174.11217600, 174.11217600	J=2-1,F=3/2-5/2	-2.78020		2.9040	4.1782	CDMS
HC17O+	Formylium	174.11296100, 174.11296100	J=2-1,F=9/2-7/2	-1.85940		2.9039	4.1780	CDMS
HC17O+	Formylium	174.11296100, 174.11296100	J=2-1,F=9/2-7/2	-2.14820		2.9040	4.1782	CDMS
