Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
t-HCOOH	Formic Acid	94.44062040, 94.44062040	21(2,19)-22(1,22)	-7.37850		183.0450	263.3594	CDMS
t-HCOOH	Formic Acid	94.76041750, 94.76041750	26(3,24)-25(4,21)	-6.55290		280.3395	403.3437	CDMS
t-HCOOH	Formic Acid	94.90765420, 94.90765420	7(2,5)-8(0,8)	-7.12960		26.7741	38.5217	CDMS
t-HCOOH	Formic Acid	95.76527920, 95.76527920	9(3,7)-10(2,8)	-6.48550		50.4715	72.6168	CDMS
t-HCOOH	Formic Acid	97.36100640, 97.36100640	21(2,19)-22(0,22)	-7.31110		182.9476	263.2193	CDMS
t-HCOOH	Formic Acid	98.77612120, 98.77612120	11(1,10)-10(2,9)	-6.16820		49.9937	71.9294	CDMS
t-HCOOH	Formic Acid	99.38600410, 99.38600410	4(2,2)-5(1,5)	-6.78680		13.0370	18.7572	CDMS
t-HCOOH	Formic Acid	99.85870370, 99.85870370	15(3,12)-16(1,15)	-6.93510		106.9265	153.8425	CDMS
t-HCOOH	Formic Acid	100.47115890, 100.47115890	8(1,7)-8(0,8)	-5.71210		26.7741	38.5217	CDMS
t-HCOOH	Formic Acid	100.81207100, 100.81207100	3(2,2)-4(1,3)	-6.89840		9.9768	14.3543	CDMS
t-HCOOH	Formic Acid	101.86542150, 101.86542150	15(4,11)-16(3,14)	-6.35430		122.0836	175.6501	CDMS
t-HCOOH	Formic Acid	104.87346500, 104.87346500	7(0,7)-6(1,6)	-5.91920	 0.12	17.3624	24.9805	CDMS
t-HCOOH	Formic Acid	107.05262110, 107.05262110	11(1,10)-11(1,11)	-5.61110		49.7176	71.5321	CDMS
t-HCOOH	Formic Acid	107.63835000, 107.63835000	18(2,16)-18(2,17)	-5.49700		136.2194	195.9882	CDMS
t-HCOOH	Formic Acid	108.12672020, 108.12672020	5(1,5)-4(1,4)	-4.09500	 0.06	9.4303	13.5680	CDMS
t-HCOOH	Formic Acid	108.30981660, 108.30981660	27(3,25)-26(4,22)	-6.47980		300.0909	431.7614	CDMS
t-HCOOH	Formic Acid	108.75940480, 108.75940480	2(1,2)-1(0,1)	-6.23960		0.7496	1.0785	CDMS
t-HCOOH	Formic Acid	108.85477960, 108.85477960	26(6,21)-27(5,22)	-6.50580		339.5351	488.5125	CDMS
t-HCOOH	Formic Acid	110.34008620, 110.34008620	9(1,8)-9(0,9)	-5.62460		33.4039	48.0605	CDMS
t-HCOOH	Formic Acid	110.41358880, 110.41358880	9(3,6)-10(2,9)	-6.37550	 0.04	49.9937	71.9294	CDMS
t-HCOOH	Formic Acid	110.42779080, 110.42779080	26(3,23)-26(3,24)	-5.61700		283.5003	407.8913	CDMS
t-HCOOH	Formic Acid	110.64075330, 110.64075330	26(6,20)-27(5,23)	-6.49190		339.4773	488.4293	CDMS
t-HCOOH	Formic Acid	111.74678450, 111.74678450	5(0,5)-4(0,4)	-4.04510	 0.10	7.4803	10.7624	CDMS
t-HCOOH	Formic Acid	112.09574950, 112.09574950	23(3,20)-22(4,19)	-6.26910		225.6253	324.6226	CDMS
t-HCOOH	Formic Acid	112.28714470, 112.28714470	5(2,4)-4(2,3)	-4.13470		16.3370	23.5052	CDMS
t-HCOOH	Formic Acid	112.43229210, 112.43229210	5(4,2)-4(4,1)	-4.55670	 0.06	42.8546	61.6579	CDMS
t-HCOOH	Formic Acid	112.43231910, 112.43231910	5(4,1)-4(4,0)	-4.55670	 0.06	42.8546	61.6579	CDMS
t-HCOOH	Formic Acid	112.45962140, 112.45962140	5(3,3)-4(3,2)	-4.27440	 0.06b	27.3908	39.4090	CDMS
t-HCOOH	Formic Acid	112.46700740, 112.46700740	5(3,2)-4(3,1)	-4.27440	  b	27.3908	39.4090	CDMS
t-HCOOH	Formic Acid	112.89144350, 112.89144350	5(2,3)-4(2,2)	-4.13010	 0.06	16.3522	23.5270	CDMS
t-HCOOH	Formic Acid	113.39128930, 113.39128930	23(4,19)-24(2,22)	-6.96190		239.4100	344.4556	CDMS
t-HCOOH	Formic Acid	113.46992520, 113.46992520	6(2,4)-7(0,7)	-7.13490		20.8606	30.0136	CDMS
t-HCOOH	Formic Acid	113.78060190, 113.78060190	20(5,16)-21(4,17)	-6.31430		209.1585	300.9307	CDMS
t-HCOOH	Formic Acid	114.19863150, 114.19863150	17(2,15)-16(3,14)	-6.12220		122.0836	175.6501	CDMS
t-HCOOH	Formic Acid	114.64513030, 114.64513030	22(2,20)-23(1,23)	-7.29560		199.3591	286.8316	CDMS
t-HCOOH	Formic Acid	116.31148940, 116.31148940	5(1,4)-4(1,3)	-4.03300		9.9768	14.3543	CDMS
t-HCOOH	Formic Acid	116.94071500, 116.94071500	22(2,20)-23(0,23)	-7.23460		199.2825	286.7214	CDMS
t-HCOOH	Formic Acid	117.29835500, 117.29835500	20(5,15)-21(4,18)	-6.28850		209.0443	300.7664	CDMS
t-HCOOH	Formic Acid	117.34809470, 117.34809470	3(2,1)-4(1,4)	-6.82060		9.4303	13.5680	CDMS
t-HCOOH	Formic Acid	118.00965150, 118.00965150	14(4,11)-15(3,12)	-6.24030		110.2575	158.6350	CDMS
t-HCOOH	Formic Acid	119.96755080, 119.96755080	28(3,26)-27(4,23)	-6.43990		320.6335	461.3174	CDMS
t-HCOOH	Formic Acid	121.65521970, 121.65521970	8(3,6)-9(2,7)	-6.34050		42.8481	61.6485	CDMS
t-HCOOH	Formic Acid	121.80772670, 121.80772670	10(1,9)-10(0,10)	-5.54200		40.7435	58.6205	CDMS
t-HCOOH	Formic Acid	124.38005420, 124.38005420	14(4,10)-15(3,13)	-6.19710		110.0498	158.3362	CDMS
t-HCOOH	Formic Acid	125.55671800, 125.55671800	14(3,11)-15(1,14)	-6.81810		94.7205	136.2809	CDMS
t-HCOOH	Formic Acid	126.00689080, 126.00689080	12(1,11)-12(1,12)	-5.51800		58.3227	83.9129	CDMS
t-HCOOH	Formic Acid	126.49578060, 126.49578060	2(2,1)-3(1,2)	-7.05590		6.8714	9.8864	CDMS
t-HCOOH	Formic Acid	126.80944100, 126.80944100	19(2,17)-19(2,18)	-5.41390		150.2728	216.2078	CDMS
t-HCOOH	Formic Acid	128.78394020, 128.78394020	3(1,3)-2(0,2)	-5.96900		2.2477	3.2339	CDMS
t-HCOOH	Formic Acid	129.51420060, 129.51420060	29(3,27)-28(4,24)	-6.42840		341.9718	492.0183	CDMS
t-HCOOH	Formic Acid	129.59942510, 129.59942510	12(1,11)-11(2,10)	-5.88230		58.2029	83.7405	CDMS
t-HCOOH	Formic Acid	129.67181630, 129.67181630	6(1,6)-5(1,5)	-3.86080		13.0370	18.7572	CDMS
t-HCOOH	Formic Acid	130.16879970, 130.16879970	27(3,24)-27(3,25)	-5.54440		303.7037	436.9594	CDMS
t-HCOOH	Formic Acid	130.98001880, 130.98001880	8(0,8)-7(1,7)	-5.65330		22.4051	32.2358	CDMS
t-HCOOH	Formic Acid	131.51394720, 131.51394720	8(3,5)-9(2,8)	-6.28160		42.5246	61.1831	CDMS
t-HCOOH	Formic Acid	133.15987290, 133.15987290	25(6,20)-26(5,21)	-6.31210		319.1648	459.2043	CDMS
t-HCOOH	Formic Acid	133.35001710, 133.35001710	5(2,3)-6(0,6)	-7.20170		15.6697	22.5451	CDMS
t-HCOOH	Formic Acid	133.76718730, 133.76718730	6(0,6)-5(0,5)	-3.81830		11.2078	16.1254	CDMS
t-HCOOH	Formic Acid	134.39817400, 134.39817400	25(6,19)-26(5,22)	-6.30420		319.1245	459.1463	CDMS
t-HCOOH	Formic Acid	134.68637350, 134.68637350	6(2,5)-5(2,4)	-3.88150		20.0825	28.8941	CDMS
t-HCOOH	Formic Acid	134.92024410, 134.92024410	6(5,2)-5(5,1)	-4.44040		66.4795	95.6486	CDMS
t-HCOOH	Formic Acid	134.92024440, 134.92024440	6(5,1)-5(5,0)	-4.44040		66.4795	95.6486	CDMS
t-HCOOH	Formic Acid	134.93838530, 134.93838530	6(4,3)-5(4,2)	-4.13920		46.6050	67.0538	CDMS
t-HCOOH	Formic Acid	134.93850700, 134.93850700	6(4,2)-5(4,1)	-4.13920		46.6050	67.0538	CDMS
t-HCOOH	Formic Acid	134.94119730, 134.94119730	11(1,10)-11(0,11)	-5.46440		48.7873	70.1936	CDMS
t-HCOOH	Formic Acid	134.98536980, 134.98536980	6(3,4)-5(3,3)	-3.97640		31.1420	44.8061	CDMS
t-HCOOH	Formic Acid	135.00504410, 135.00504410	6(3,3)-5(3,2)	-3.97630		31.1423	44.8066	CDMS
t-HCOOH	Formic Acid	135.73775890, 135.73775890	6(2,4)-5(2,3)	-3.87490	 0.015	20.1178	28.9449	CDMS
t-HCOOH	Formic Acid	136.35817550, 136.35817550	2(2,0)-3(1,3)	-7.02290		6.5434	9.4144	CDMS
t-HCOOH	Formic Acid	136.56597940, 136.56597940	23(2,21)-24(1,24)	-7.22780		216.3685	311.3042	CDMS
t-HCOOH	Formic Acid	138.24035540, 138.24035540	19(5,15)-20(4,16)	-6.14370		193.2999	278.1138	CDMS
t-HCOOH	Formic Acid	138.36434290, 138.36434290	23(2,21)-24(0,24)	-7.17090		216.3085	311.2179	CDMS
t-HCOOH	Formic Acid	139.48169910, 139.48169910	6(1,5)-5(1,4)	-3.79950		13.8565	19.9363	CDMS
t-HCOOH	Formic Acid	140.65121990, 140.65121990	19(5,14)-20(4,17)	-6.12920		193.2214	278.0009	CDMS
t-HCOOH	Formic Acid	142.74402170, 142.74402170	13(4,10)-14(3,11)	-6.09900		98.9086	142.3066	CDMS
t-HCOOH	Formic Acid	145.82996490, 145.82996490	22(4,18)-23(2,21)	-6.78890		220.9238	317.8582	CDMS
t-HCOOH	Formic Acid	146.16252160, 146.16252160	24(3,21)-23(4,20)	-6.05040		242.9643	349.5694	CDMS
t-HCOOH	Formic Acid	146.26133600, 146.26133600	13(1,12)-13(1,13)	-5.43420		67.6352	97.3114	CDMS
t-HCOOH	Formic Acid	146.69992730, 146.69992730	7(3,5)-8(2,6)	-6.25800		36.0058	51.8040	CDMS
t-HCOOH	Formic Acid	147.02265110, 147.02265110	13(4,9)-14(3,12)	-6.07490		98.7686	142.1052	CDMS
t-HCOOH	Formic Acid	147.51468140, 147.51468140	20(2,18)-20(2,19)	-5.34070		165.0458	237.4627	CDMS
t-HCOOH	Formic Acid	148.03899970, 148.03899970	4(1,4)-3(0,3)	-5.75110		4.4922	6.4632	CDMS
t-HCOOH	Formic Acid	148.12086930, 148.12086930	18(2,16)-17(3,15)	-5.88200		134.8691	194.0454	CDMS
t-HCOOH	Formic Acid	149.76699400, 149.76699400	12(1,11)-12(0,12)	-5.39200		57.5301	82.7725	CDMS
t-HCOOH	Formic Acid	151.17624750, 151.17624750	7(1,7)-6(1,6)	-3.66710		17.3624	24.9805	CDMS
t-HCOOH	Formic Acid	151.67402990, 151.67402990	28(3,25)-28(3,26)	-5.48190		324.6352	467.0750	CDMS
t-HCOOH	Formic Acid	152.43177120, 152.43177120	13(3,10)-14(1,13)	-6.74450		83.2475	119.7739	CDMS
