Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
N2D+	Diazenylium	154.21500610, 154.21500610	J=2-1,F1=2-2,F=2-3	-4.02500	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21513620, 154.21513620	J=2-1,F1=2-2,F=1-1	-3.35990	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21525820, 154.21525820	J=2-1,F1=2-2,F=3-3	-3.06630	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21530270, 154.21530270	J=2-1,F1=2-2,F=2-2	-3.61850	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21539360, 154.21539360	J=2-1,F1=1-0,F=1-1	-3.10300	  b	2.5722	3.7008	CDMS
N2D+	Diazenylium	154.21555490, 154.21555490	J=2-1,F1=2-2,F=3-2	-3.96510	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21559860, 154.21559860	J=2-1,F1=1-0,F=2-1	-2.86690	  b	2.5722	3.7008	CDMS
N2D+	Diazenylium	154.21563160, 154.21563160	J=2-1,F1=2-2,F=1-2	-4.15450	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21586540, 154.21586540	J=2-1,F1=1-0,F=0-1	-3.54070	  b	2.5722	3.7008	CDMS
N2D+	Diazenylium	154.21672020, 154.21672020	J=2-1,F1=2-1,F=2-1	-2.83540	  b	2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21678240, 154.21678240	J=2-1,F1=3-2,F=3-3	-3.55120	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21685820, 154.21685820	J=2-1,F1=2-1,F=2-2	-3.21720	  b	2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21701120, 154.21701120	J=2-1	-1.87560	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21704900, 154.21704900	J=2-1,F1=2-1,F=1-1	-3.60170	  b	2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21707910, 154.21707910	J=2-1,F1=3-2,F=3-2	-2.50390	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21710150, 154.21710150	J=2-1,F1=3-2,F=2-1	-2.71340	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21711040, 154.21711040	J=2-1,F1=2-1,F=3-2	-2.61050	  b	2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21717820, 154.21717820	J=2-1,F1=3-2,F=4-3	-2.35700	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21748210, 154.21748210	J=2-1,F1=2-1,F=1-0	-3.16390	  b	2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21759690, 154.21759690	J=2-1,F1=3-2,F=2-2	-3.32910	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21809280, 154.21809280	J=2-1,F1=1-2,F=2-3	-4.25440	  b	2.5721	3.7007	CDMS
N2D+	Diazenylium	154.21960190, 154.21960190	J=2-1,F1=1-1,F=1-1	-3.63910		2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21974000, 154.21974000	J=2-1,F1=1-1,F=1-2	-3.53170		2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21980690, 154.21980690	J=2-1,F1=1-1,F=2-1	-3.51590		2.5720	3.7005	CDMS
N2D+	Diazenylium	154.21994500, 154.21994500	J=2-1,F1=1-1,F=2-2	-3.16290		2.5720	3.7005	CDMS
N2D+	Diazenylium	154.22003500, 154.22003500	J=2-1,F1=1-1,F=1-0	-3.89160		2.5720	3.7005	CDMS
N2D+	Diazenylium	154.22007370, 154.22007370	J=2-1,F1=1-1,F=0-1	-3.74210		2.5720	3.7005	CDMS
N2D+	Diazenylium	231.31990640, 231.31990640	J=3-2,F1=3-3,F=2-2	-3.15160		7.7162	11.1018	CDMS
N2D+	Diazenylium	231.31995700, 231.31995700	J=3-2,F1=3-3,F=4-4	-2.92260		7.7162	11.1018	CDMS
N2D+	Diazenylium	231.31997970, 231.31997970	J=3-2,F1=3-3,F=3-3	-3.29310		7.7162	11.1018	CDMS
N2D+	Diazenylium	231.32121090, 231.32121090	J=3-2,F1=2-1,F=2-2	-2.95550	 0.17	7.7163	11.1020	CDMS
N2D+	Diazenylium	231.32141600, 231.32141600	J=3-2,F1=2-1,F=2-1	-2.46300	 0.17	7.7163	11.1020	CDMS
N2D+	Diazenylium	231.32145950, 231.32145950	J=3-2,F1=2-1,F=1-0	-2.79640	 0.17	7.7163	11.1020	CDMS
N2D+	Diazenylium	231.32148360, 231.32148360	J=3-2,F1=4-3,F=4-4	-3.28630	 0.17	7.7162	11.1018	CDMS
N2D+	Diazenylium	231.32150390, 231.32150390	J=3-2,F1=3-2,F=3-3	-2.99650	 0.17	7.7162	11.1018	CDMS
N2D+	Diazenylium	231.32158010, 231.32158010	J=3-2,F1=2-1,F=3-2	-2.16780	 0.17	7.7163	11.1020	CDMS
