Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
N2H+v=0	Diazenylium	186.34247780, 186.34247780	J=2-1,F1=2-2,F=2-1	-4.18770		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34267190, 186.34267190	J=2-1,F1=2-2,F=2-3	-3.81130		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34280300, 186.34280300	J=2-1,F1=2-2,F=1-1	-3.14830		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34292490, 186.34292490	J=2-1,F1=2-2,F=3-3	-2.85340		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34296840, 186.34296840	J=2-1,F1=2-2,F=2-2	-3.40310		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34306160, 186.34306160	J=2-1,F1=1-0,F=1-1	-2.89000		3.1080	4.4717	CDMS
N2H+v=0	Diazenylium	186.34322150, 186.34322150	J=2-1,F1=2-2,F=3-2	-3.75240		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34326910, 186.34326910	J=2-1,F1=1-0,F=2-1	-2.65360		3.1080	4.4717	CDMS
N2H+v=0	Diazenylium	186.34329370, 186.34329370	J=2-1,F1=2-2,F=1-2	-3.94050		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34352950, 186.34352950	J=2-1,F1=1-0,F=0-1	-3.32800		3.1080	4.4717	CDMS
N2H+v=0	Diazenylium	186.34439410, 186.34439410	J=2-1,F1=2-1,F=2-1	-2.62280		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34445860, 186.34445860	J=2-1,F1=3-2,F=3-3	-3.33730		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34453120, 186.34453120	J=2-1,F1=2-1,F=2-2	-3.00420		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34468440, 186.34468440	J=2-1	-1.44490		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34471930, 186.34471930	J=2-1,F1=2-1,F=1-1	-3.38530		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34475520, 186.34475520	J=2-1,F1=3-2,F=3-2	-2.29080		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34477100, 186.34477100	J=2-1	-1.41390		3.1079	4.4715	JPL
N2H+v=0	Diazenylium	186.34477670, 186.34477670	J=2-1,F1=3-2,F=2-1	-2.49990		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34478430, 186.34478430	J=2-1,F1=2-1,F=3-2	-2.39730		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34485490, 186.34485490	J=2-1,F1=3-2,F=4-3	-2.14390		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34515130, 186.34515130	J=2-1,F1=2-1,F=1-0	-2.95120		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34526730, 186.34526730	J=2-1,F1=3-2,F=2-2	-3.11670		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34575870, 186.34575870	J=2-1,F1=1-2,F=2-3	-4.04150		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34727340, 186.34727340	J=2-1,F1=1-1,F=1-1	-3.42680		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34741060, 186.34741060	J=2-1,F1=1-1,F=1-2	-3.31900		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34748090, 186.34748090	J=2-1,F1=1-1,F=2-1	-3.30260		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34761810, 186.34761810	J=2-1,F1=1-1,F=2-2	-2.94980		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34770540, 186.34770540	J=2-1,F1=1-1,F=1-0	-3.67620		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	186.34774130, 186.34774130	J=2-1,F1=1-1,F=0-1	-3.52800		3.1079	4.4716	CDMS
N2H+v=0	Diazenylium	279.50949400, 279.50949400	J=3-2,F1=3-3,F=3-4	-3.93460		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.50981710, 279.50981710	J=3-2,F1=3-3,F=2-2	-2.94220		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.50986860, 279.50986860	J=3-2,F1=3-3,F=4-4	-2.71250		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.50989030, 279.50989030	J=3-2,F1=3-3,F=3-3	-3.08120		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51026490, 279.51026490	J=3-2,F1=3-3,F=4-3	-3.79400		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51112740, 279.51112740	J=3-2,F1=2-1,F=2-2	-2.74520		9.3238	13.4150	CDMS
N2H+v=0	Diazenylium	279.51133490, 279.51133490	J=3-2,F1=2-1,F=2-1	-2.25250		9.3238	13.4150	CDMS
N2H+v=0	Diazenylium	279.51137690, 279.51137690	J=3-2,F1=2-1,F=1-0	-2.58600		9.3238	13.4150	CDMS
N2H+v=0	Diazenylium	279.51140660, 279.51140660	J=3-2,F1=4-3,F=4-4	-3.07550		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51142400, 279.51142400	J=3-2,F1=3-2,F=3-3	-2.78620		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51149900, 279.51149900	J=3-2,F1=2-1,F=3-2	-1.95740		9.3238	13.4150	CDMS
N2H+v=0	Diazenylium	279.51163720, 279.51163720	J=3-2,F1=2-1,F=1-2	-3.89740		9.3238	13.4150	CDMS
N2H+v=0	Diazenylium	279.51167700, 279.51167700	J=3-2,F1=3-2,F=3-2	-1.98590		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51170100, 279.51170100	J=3-2	-0.90190	 0.9	9.3237	13.4146	JPL
N2H+v=0	Diazenylium	279.51174910, 279.51174910	J=3-2	-0.93280		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51179080, 279.51179080	J=3-2,F1=3-2,F=2-1	-2.14760		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51179860, 279.51179860	J=3-2,F1=3-2,F=4-3	-1.83640		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51180220, 279.51180220	J=3-2,F1=4-3,F=3-2	-1.93060		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51180280, 279.51180280	J=3-2,F1=4-3,F=4-3	-1.80060		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51184470, 279.51184470	J=3-2,F1=2-1,F=1-1	-2.66100		9.3238	13.4150	CDMS
N2H+v=0	Diazenylium	279.51185230, 279.51185230	J=3-2,F1=4-3,F=5-4	-1.69080		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51211600, 279.51211600	J=3-2,F1=3-2,F=2-2	-3.06260		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51231440, 279.51231440	J=3-2,F1=4-3,F=3-3	-2.92330		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51388900, 279.51388900	J=3-2,F1=2-2,F=2-1	-3.59900		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51396120, 279.51396120	J=3-2,F1=2-2,F=2-3	-3.58940		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51421430, 279.51421430	J=3-2,F1=2-2,F=2-2	-2.87420		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51433280, 279.51433280	J=3-2,F1=2-2,F=3-3	-2.78440		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51439880, 279.51439880	J=3-2,F1=2-2,F=1-1	-3.38600		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51458580, 279.51458580	J=3-2,F1=2-2,F=3-2	-3.67280		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	279.51472400, 279.51472400	J=3-2,F1=2-2,F=1-2	-3.66720		9.3237	13.4148	CDMS
N2H+v=0	Diazenylium	372.67049720, 372.67049720	J=4-3,F1=4-4,F=3-3	-2.81470		18.6473	26.8295	CDMS
N2H+v=0	Diazenylium	372.67052790, 372.67052790	J=4-3,F1=4-4,F=5-5	-2.62710		18.6472	26.8293	CDMS
N2H+v=0	Diazenylium	372.67053980, 372.67053980	J=4-3,F1=4-4,F=4-4	-2.90580		18.6472	26.8293	CDMS
N2H+v=0	Diazenylium	372.67193720, 372.67193720	J=4-3,F1=3-2,F=3-3	-2.66880		18.6473	26.8295	CDMS
N2H+v=0	Diazenylium	372.67207700, 372.67207700	J=4-3,F1=5-4,F=5-5	-2.91840		18.6472	26.8293	CDMS
N2H+v=0	Diazenylium	372.67207780, 372.67207780	J=4-3,F1=4-3,F=4-4	-2.67690		18.6472	26.8293	CDMS
N2H+v=0	Diazenylium	372.67230880, 372.67230880	J=4-3,F1=3-2,F=3-2	-1.73900		18.6473	26.8295	CDMS
