Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
SO3&Sigma;v=0	Sulfur Monoxide	99.29987000, 99.29987000	3(2)-2(1)	-3.27400	 1.59m	3.0999	4.4600	JPL
SO3&Sigma;v=0	Sulfur Monoxide	100.02964000, 100.02964000	4(5)-4(4)	-4.22740	 0.38m	23.4748	33.7748	JPL
SO3&Sigma;v=0	Sulfur Monoxide	109.25222000, 109.25222000	2(3)-1(2)	-3.49620	 2.42m	10.9871	15.8079	JPL
SO3&Sigma;v=0	Sulfur Monoxide	129.13892300, 129.13892300	3(3)-2(2)	-3.10980	 1.5	13.4238	19.3137	JPL
SO3&Sigma;v=0	Sulfur Monoxide	136.63479900, 136.63479900	5(6)-5(5)	-4.08350	 0.4	30.6538	44.1037	JPL
SO3&Sigma;v=0	Sulfur Monoxide	138.17860000, 138.17860000	4(3)-3(2)	-2.86740	 2.0	6.4122	9.2257	JPL
SO3&Sigma;v=0	Sulfur Monoxide	158.97180000, 158.97180000	3(4)-2(3)	-2.92910	 3.5	14.6314	21.0512	JPL
SO3&Sigma;v=0	Sulfur Monoxide	172.18146000, 172.18146000	4(4)-3(3)	-2.72230		17.7314	25.5114	JPL
SO3&Sigma;v=0	Sulfur Monoxide	173.17440500, 173.17440500	16(16)-17(16)	-5.99810		198.5397	285.6527	JPL
SO3&Sigma;v=0	Sulfur Monoxide	173.70581090, 173.70581090	15(15)-16(15)	-5.97550		175.5659	252.5987	JPL
SO3&Sigma;v=0	Sulfur Monoxide	174.32709430, 174.32709430	14(14)-15(14)	-5.95730		154.0218	221.6017	JPL
SO3&Sigma;v=0	Sulfur Monoxide	174.92886000, 174.92886000	6(7)-6(6)	-3.97990		39.2682	56.4979	JPL
SO3&Sigma;v=0	Sulfur Monoxide	175.05597400, 175.05597400	13(13)-14(13)	-5.94380		133.9072	192.6615	JPL
SO3&Sigma;v=0	Sulfur Monoxide	175.91512550, 175.91512550	12(12)-13(12)	-5.93530		115.2217	165.7774	JPL
SO3&Sigma;v=0	Sulfur Monoxide	176.93401400, 176.93401400	11(11)-12(11)	-5.93210		97.9646	140.9484	JPL
