Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CNv=0,Cyanide Radical,"N=1-0,J=1/2-1/2,F=1/2-1/2",113.1233687,-5.89067,5.43004,-4.7119
CNv=0,Cyanide Radical,"N=1-0,J=1/2-1/2,F=1/2-3/2",113.14419,-4.9776,5.43003,-3.7989
CNv=0,Cyanide Radical,"N=1-0,J=1/2-1/2,F=3/2-1/2",113.170535,-5.28862,5.43231,-3.809
CNv=0,Cyanide Radical,"N=1-0,J=1/2-1/2,F=3/2-3/2",113.191325,-5.17514,5.4323,-3.6956
CNv=0,Cyanide Radical,"N=1-0,J=3/2-1/2,F=5/2-3/2",113.490985,-4.92358,5.44668,-3.2691
CNv=0,Cyanide Radical,"N=1-0,J=3/2-1/2,F=1/2-1/2",113.499643,-4.97352,5.4481,-3.7962
CNv=0,Cyanide Radical,"N=1-0,J=3/2-1/2,F=3/2-3/2",113.508934,-5.28472,5.44754,-3.8064
CNv=0,Cyanide Radical,"N=1-0,J=3/2-1/2,F=1/2-3/2",113.5204215,-5.88634,5.44809,-4.7091
CNv=0,Cyanide Radical,"N=2-1,J=3/2-3/2,F=1/2-1/2",226.2874265,-4.98737,16.30806,-4.1215
CNv=0,Cyanide Radical,"N=2-1,J=3/2-3/2,F=3/2-1/2",226.3030784,-5.37977,16.30881,-4.2129
CNv=0,Cyanide Radical,"N=2-1,J=3/2-3/2,F=3/2-3/2",226.31454,-5.00405,16.30893,-3.8372
CNv=0,Cyanide Radical,"N=2-1,J=3/2-3/2,F=3/2-5/2",226.3325364,-5.34151,16.30893,-4.1747
CNv=0,Cyanide Radical,"N=2-1,J=3/2-3/2,F=5/2-3/2",226.3419306,-5.50078,16.31025,-4.1579
CNv=0,Cyanide Radical,"N=2-1,J=3/2-3/2,F=5/2-5/2",226.359871,-4.79365,16.31024,-3.4508
CNv=0,Cyanide Radical,"N=2-1,J=3/2-1/2,F=1/2-3/2",226.6165554,-4.96955,16.30818,-4.1043
CNv=0,Cyanide Radical,"N=2-1,J=3/2-1/2,F=3/2-3/2",226.63219,-4.37065,16.30893,-3.2044
CNv=0,Cyanide Radical,"N=2-1,J=3/2-1/2,F=5/2-3/2",226.659575,-4.02379,16.31024,-2.6815
CNv=0,Cyanide Radical,"N=2-1,J=3/2-1/2,F=3/2-1/2",226.679382,-4.27836,16.30889,-3.1122
CNv=0,Cyanide Radical,"N=2-1,J=5/2-3/2,F=7/2-5/2",226.874745,-3.94188,16.33495,-2.4751
CNv=0,Cyanide Radical,"N=2-1,J=5/2-3/2,F=5/2-5/2",226.892119,-4.74221,16.33579,-3.4004
CNv=0,Cyanide Radical,"N=2-1,J=5/2-3/2,F=3/2-5/2",226.9053771,-5.94809,16.33642,-4.7824
CNv=0,Cyanide Radical,"N=3-2,J=5/2-5/2,F=3/2-3/2",339.446777,-4.64512,32.62714,-3.674
CNv=0,Cyanide Radical,"N=3-2,J=5/2-5/2,F=5/2-3/2",339.4626826,-5.53019,32.6279,-4.383
CNv=0,Cyanide Radical,"N=3-2,J=5/2-5/2,F=5/2-5/2",339.475904,-4.67278,32.62796,-3.5256
CNv=0,Cyanide Radical,"N=3-2,J=5/2-5/2,F=7/2-5/2",339.4992902,-5.63208,32.62908,-4.36
CNv=0,Cyanide Radical,"N=3-2,J=5/2-5/2,F=7/2-7/2",339.516658,-4.59596,32.62905,-3.3239
CNv=0,Cyanide Radical,"N=3-2,J=5/2-3/2,F=3/2-5/2",339.9922728,-5.40974,32.62713,-4.4393
CNv=0,Cyanide Radical,"N=3-2,J=5/2-3/2,F=5/2-5/2",340.008097,-4.20782,32.62789,-3.0613
CNv=0,Cyanide Radical,"N=3-2,J=5/2-3/2,F=3/2-3/2",340.019602,-4.03291,32.62715,-3.0625
CNv=0,Cyanide Radical,"N=3-2,J=5/2-3/2,F=7/2-5/2",340.031544,-3.41512,32.62902,-2.1437
CNv=0,Cyanide Radical,"N=3-2,J=7/2-5/2,F=7/2-5/2",340.24777,-3.38391,32.66414,-2.0159
CNv=0,Cyanide Radical,"N=3-2,J=7/2-5/2,F=7/2-7/2",340.265025,-4.47488,32.66497,-3.2038
CNv=0,Cyanide Radical,"N=3-2,J=7/2-5/2,F=5/2-7/2",340.2791661,-6.03282,32.66565,-4.8867
CNv=0,Cyanide Radical,"N=4-3,J=7/2-7/2,F=7/2-7/2",452.6199141,-4.50286,54.38715,-3.3832
CNv=0,Cyanide Radical,"N=4-3,J=7/2-7/2,F=9/2-7/2",452.6416167,-5.73125,54.38819,-4.5147
CNv=0,Cyanide Radical,"N=4-3,J=7/2-7/2,F=9/2-9/2",452.6587483,-4.46224,54.38815,-3.2457
